"","observation_path","chamber_path","member_path","constituency_path","observation_number","chamber_number","member_number","full_name","first_name","last_name","laying_minister_name","chamber","constituency","title","hansard_title","start_date","end_date","end_note","unpaid","joint"
"70","/chamber-1/member-1541/observation-70","/chamber-1","/chamber-1/member-1541","/chamber-1/constituency-599","70",1,1541,"Jesse Norman","Jesse","Norman","Jesse Norman","Commons","Hereford and South Herefordshire","Financial Secretary to the Treasury and Paymaster General","Financial Secretary to the Treasury and Paymaster General","2019-05-23",NA,NA,"False","False"
"71","/chamber-1/member-1574/observation-71","/chamber-1","/chamber-1/member-1574","/chamber-1/constituency-603","71",1,1574,"Guy Opperman","Guy","Opperman","Guy Opperman","Commons","Hexham","Parliamentary Under-Secretary (Department for Work and Pensions)","The Parliamentary Under-Secretary of State for Work and Pensions","2017-06-14",NA,NA,"False","False"
"72","/chamber-1/member-1601/observation-72","/chamber-1","/chamber-1/member-1601","/chamber-1/constituency-1420","72",1,1601,"Priti Patel","Priti","Patel","Secretary Priti Patel","Commons","Witham","Home Secretary","The Secretary of State for the Home Department","2019-07-24",NA,NA,"False","False"
"73","/chamber-1/member-1631/observation-73","/chamber-1","/chamber-1/member-1631","/chamber-1/constituency-332","73",1,1631,"Chris Philp","Chris","Philp","Chris Philp","Commons","Croydon South","Parliamentary Under-Secretary (Ministry of Justice)","The Parliamentary Under-Secretary of State for Justice","2019-09-10",NA,NA,"False","False"
"74","/chamber-1/member-1636/observation-74","/chamber-1","/chamber-1/member-1636","/chamber-1/constituency-1278","74",1,1636,"Christopher Pincher","Christopher","Pincher","Christopher Pincher","Commons","Tamworth","Minister of State (Foreign and Commonwealth Office) ","Minister of State","2019-07-25",NA,NA,"False","False"
"75","/chamber-1/member-1651/observation-75","/chamber-1","/chamber-1/member-1651","/chamber-1/constituency-1281","75",1,1651,"Rebecca Pow","Rebecca","Pow","Rebecca Pow","Commons","Taunton Deane","Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)","The Parliamentary Under-Secretary of State for Environment, Food and Rural Affairs","2019-09-12",NA,NA,"False","False"
"76","/chamber-1/member-1676/observation-76","/chamber-1","/chamber-1/member-1676","/chamber-1/constituency-315","76",1,1676,"Tom Pursglove","Tom","Pursglove",NA,"Commons","Corby","Assistant Whip","Assistant Whip","2019-07-29",NA,NA,"False","False"
"77","/chamber-1/member-1679/observation-77","/chamber-1","/chamber-1/member-1679","/chamber-1/constituency-621","77",1,1679,"Jeremy Quin","Jeremy","Quin",NA,"Commons","Horsham","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2018-11-05",NA,NA,"True","False"
"78","/chamber-1/member-1680/observation-78","/chamber-1","/chamber-1/member-1680","/chamber-1/constituency-306","78",1,1680,"Will Quince","Will","Quince","Will Quince","Commons","Colchester","Parliamentary Under-Secretary (Department for Work and Pensions)","The Parliamentary Under-Secretary of State for Work and Pensions","2019-04-04",NA,NA,"False","False"
"79","/chamber-1/member-1683/observation-79","/chamber-1","/chamber-1/member-1683","/chamber-1/constituency-457","79",1,1683,"Dominic Raab","Dominic","Raab","Secretary Dominic Raab ","Commons","Esher and Walton","Foreign Secretary and First Secretary of State","The Secretary of State for Foreign and Commonwealth Affairs","2019-07-24",NA,NA,"False","False"
"80","/chamber-1/member-1709/observation-80","/chamber-1","/chamber-1/member-1709","/chamber-1/constituency-901","80",1,1709,"Mr Jacob Rees-Mogg","Mr Jacob","Rees-Mogg","Mr Jacob Rees-Mogg","Commons","North East Somerset","Lord President of the Council and Leader of the House of Commons","Lord President of the Council and Leader of the House of Commons","2019-07-24",NA,NA,"False","False"
"81","/chamber-1/member-1790/observation-81","/chamber-1","/chamber-1/member-1790","/chamber-1/constituency-775","81",1,1790,"David Rutley","David","Rutley",NA,"Commons","Macclesfield","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2017-06-15",NA,NA,"False","False"
"82","/chamber-1/member-1822/observation-82","/chamber-1","/chamber-1/member-1822","/chamber-1/constituency-1362","82",1,1822,"Grant Shapps","Grant","Shapps","Secretary Grant Shapps","Commons","Welwyn Hatfield","Secretary of State for Transport","The Secretary of State for Transport","2019-07-24",NA,NA,"False","False"
"83","/chamber-1/member-1823/observation-83","/chamber-1","/chamber-1/member-1823","/chamber-1/constituency-1036","83",1,1823,"Alok Sharma","Alok","Sharma","Secretary Alok Sharma","Commons","Reading West","Secretary of State for International Development","The Secretary of State for International Development","2019-07-24",NA,NA,"False","False"
"84","/chamber-1/member-1861/observation-84","/chamber-1","/chamber-1/member-1861","/chamber-1/constituency-681","84",1,1861,"Chris Skidmore ","Chris","Skidmore ","Chris Skidmore","Commons","Kingswood","Minister of State (Department for Business, Energy and Industrial Strategy) (Universities and Science) (Joint with the Department for Education)","Minister of State (Department for Business, Energy and Industrial Strategy) (Universities and Science) (Joint with the Department for Education)","2019-09-10",NA,NA,"False","False"
"85","/chamber-1/member-1867/observation-85","/chamber-1","/chamber-1/member-1867","/chamber-1/constituency-944","85",1,1867,"Chloe Smith","Chloe","Smith","Chloe Smith","Commons","Norwich North","Parliamentary Secretary (Cabinet Office)","The Parliamentary Secretary, Cabinet Office","2018-01-09",NA,NA,"False","False"
"86","/chamber-1/member-1874/observation-86","/chamber-1","/chamber-1/member-1874","/chamber-1/constituency-1131","86",1,1874,"Julian Smith","Julian","Smith","Secretary Julian Smith","Commons","Skipton and Ripon","Secretary of State for Northern Ireland","The Secretary of State for Northern Ireland","2019-07-24",NA,NA,"False","False"
"87","/chamber-1/member-1904/observation-87","/chamber-1","/chamber-1/member-1904","/chamber-1/constituency-801","87",1,1904,"Dame Caroline Spelman","Dame Caroline","Spelman",NA,"Commons","Meriden","Second Church Estates Commissioner","The Second Church Estates Commissioner","2015-05-21",NA,"Dissolution of Parliament","True","False"
"88","/chamber-1/member-1906/observation-88","/chamber-1","/chamber-1/member-1906","/chamber-1/constituency-1120","88",1,1906,"Mark Spencer","Mark","Spencer",NA,"Commons","Sherwood","Parliamentary Secretary to the Treasury and Chief Whip","The Parliamentary Secretary to the Treasury","2019-07-24",NA,NA,"False","False"
"89","/chamber-1/member-1929/observation-89","/chamber-1","/chamber-1/member-1929","/chamber-1/constituency-990","89",1,1929,"Andrew Stephenson","Andrew","Stephenson","Andrew Stephenson","Commons","Pendle","Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development)","Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development)","2019-07-25",NA,NA,"False","False"
