"key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
32,"39","39-1","39-1-Q-16","Q-16",146,"Roy Cullen","Etobicoke North",1,2006-04-26,"Notice"
33,"39","39-1","39-1-Q-16","Q-16",146,"Roy Cullen","Etobicoke North",2,2006-06-19,"Withdrawn"
34,"39","39-1","39-1-Q-17","Q-17",146,"Roy Cullen","Etobicoke North",1,2006-04-26,"Notice"
35,"39","39-1","39-1-Q-17","Q-17",146,"Roy Cullen","Etobicoke North",2,2006-06-19,"Withdrawn"
36,"39","39-1","39-1-Q-18","Q-18",475,"Todd Russell","Labrador",1,2006-04-27,"Notice"
37,"39","39-1","39-1-Q-18","Q-18",475,"Todd Russell","Labrador",2,2006-06-22,"Answered"
38,"39","39-1","39-1-Q-19","Q-19",361,"John McCallum","Markham—Unionville",1,2006-05-01,"Notice"
39,"39","39-1","39-1-Q-19","Q-19",361,"John McCallum","Markham—Unionville",2,2006-06-15,"Answered"
40,"39","39-1","39-1-Q-20","Q-20",146,"Roy Cullen","Etobicoke North",1,2006-05-02,"Notice"
41,"39","39-1","39-1-Q-20","Q-20",146,"Roy Cullen","Etobicoke North",2,2006-06-19,"Withdrawn"
42,"39","39-1","39-1-Q-21","Q-21",146,"Roy Cullen","Etobicoke North",1,2006-05-02,"Notice"
43,"39","39-1","39-1-Q-21","Q-21",146,"Roy Cullen","Etobicoke North",2,2006-06-19,"Withdrawn"
44,"39","39-1","39-1-Q-22","Q-22",204,"Joe Fontana","London North Centre",1,2006-05-03,"Notice"
45,"39","39-1","39-1-Q-22","Q-22",204,"Joe Fontana","London North Centre",2,2006-06-16,"Made an Order for Return and answer tabled"
46,"39","39-1","39-1-Q-22","Q-22",204,"Joe Fontana","London North Centre",3,2006-10-16,"Made an Order for Return and supplementary answer tabled"
47,"39","39-1","39-1-Q-23","Q-23",531,"Robert Thibault","West Nova",1,2006-05-04,"Notice"
48,"39","39-1","39-1-Q-23","Q-23",531,"Robert Thibault","West Nova",2,2006-06-16,"Made an Order for Return and answer tabled"
49,"39","39-1","39-1-Q-24","Q-24",178,"Ken Dryden","York Centre",1,2006-05-09,"Notice"
50,"39","39-1","39-1-Q-24","Q-24",178,"Ken Dryden","York Centre",2,2006-06-15,"Answered"
51,"39","39-1","39-1-Q-25","Q-25",481,"Denise Savoie","Victoria",1,2006-05-09,"Notice"
52,"39","39-1","39-1-Q-25","Q-25",481,"Denise Savoie","Victoria",2,2006-06-21,"Answered"
53,"39","39-1","39-1-Q-26","Q-26",481,"Denise Savoie","Victoria",1,2006-05-09,"Notice"
54,"39","39-1","39-1-Q-26","Q-26",481,"Denise Savoie","Victoria",2,2006-06-16,"Answered"
55,"39","39-1","39-1-Q-27","Q-27",363,"Alexa McDonough","Halifax",1,2006-05-09,"Notice"
56,"39","39-1","39-1-Q-27","Q-27",363,"Alexa McDonough","Halifax",2,2006-06-21,"Answered"
57,"39","39-1","39-1-Q-28","Q-28",127,"Olivia Chow","Trinity—Spadina",1,2006-05-09,"Notice"
58,"39","39-1","39-1-Q-28","Q-28",127,"Olivia Chow","Trinity—Spadina",2,2006-09-27,"Made an Order for Return and answer tabled"
59,"39","39-1","39-1-Q-29","Q-29",167,"Sukh Dhaliwal","Newton—North Delta",1,2006-05-09,"Notice"
60,"39","39-1","39-1-Q-29","Q-29",167,"Sukh Dhaliwal","Newton—North Delta",2,2006-06-16,"Answered"
61,"39","39-1","39-1-Q-30","Q-30",449,"Penny Priddy","Surrey North",1,2006-05-10,"Notice"
62,"39","39-1","39-1-Q-30","Q-30",449,"Penny Priddy","Surrey North",2,2006-06-16,"Answered"
63,"39","39-1","39-1-Q-31","Q-31",513,"Lloyd St. Amand","Brant",1,2006-05-10,"Notice"
64,"39","39-1","39-1-Q-31","Q-31",513,"Lloyd St. Amand","Brant",2,2006-09-18,"Answered"
65,"39","39-1","39-1-Q-32","Q-32",566,"Judy Wasylycia-Leis","Winnipeg North",1,2006-05-11,"Notice"
66,"39","39-1","39-1-Q-32","Q-32",566,"Judy Wasylycia-Leis","Winnipeg North",2,2006-06-21,"Answered"
67,"39","39-1","39-1-Q-33","Q-33",59,"Dawn Black","New Westminster—Coquitlam",1,2006-05-15,"Notice"
68,"39","39-1","39-1-Q-33","Q-33",59,"Dawn Black","New Westminster—Coquitlam",2,2006-09-18,"Made an Order for Return and answer tabled"
69,"39","39-1","39-1-Q-33","Q-33",59,"Dawn Black","New Westminster—Coquitlam",3,2007-03-19,"Made an Order for Return and revised answer tabled"
70,"39","39-1","39-1-Q-34","Q-34",485,"Andrew Scheer","Regina—Qu'Appelle",1,2006-05-16,"Notice"
71,"39","39-1","39-1-Q-34","Q-34",485,"Andrew Scheer","Regina—Qu'Appelle",2,2006-06-16,"Answered"
72,"39","39-1","39-1-Q-35","Q-35",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",1,2006-05-16,"Notice"
73,"39","39-1","39-1-Q-35","Q-35",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",2,2006-06-21,"Answered"
74,"39","39-1","39-1-Q-36","Q-36",351,"Wayne Marston","Hamilton East—Stoney Creek",1,2006-05-16,"Notice"
75,"39","39-1","39-1-Q-36","Q-36",351,"Wayne Marston","Hamilton East—Stoney Creek",2,2006-09-18,"Answered"
76,"39","39-1","39-1-Q-37","Q-37",22,"Charlie Angus","Timmins—James Bay",1,2006-05-17,"Notice"
77,"39","39-1","39-1-Q-37","Q-37",22,"Charlie Angus","Timmins—James Bay",2,2006-06-22,"Answered"
78,"39","39-1","39-1-Q-38","Q-38",22,"Charlie Angus","Timmins—James Bay",1,2006-05-17,"Notice"
79,"39","39-1","39-1-Q-38","Q-38",22,"Charlie Angus","Timmins—James Bay",2,2006-06-16,"Answered"
80,"39","39-1","39-1-Q-39","Q-39",22,"Charlie Angus","Timmins—James Bay",1,2006-05-17,"Notice"
81,"39","39-1","39-1-Q-39","Q-39",22,"Charlie Angus","Timmins—James Bay",2,2006-06-22,"Made an Order for Return and answer tabled"
82,"39","39-1","39-1-Q-40","Q-40",22,"Charlie Angus","Timmins—James Bay",1,2006-05-17,"Notice"
83,"39","39-1","39-1-Q-40","Q-40",22,"Charlie Angus","Timmins—James Bay",2,2006-09-18,"Made an Order for Return and answer tabled"
84,"39","39-1","39-1-Q-41","Q-41",357,"Irene Mathyssen","London—Fanshawe",1,2006-05-17,"Notice"
85,"39","39-1","39-1-Q-41","Q-41",357,"Irene Mathyssen","London—Fanshawe",2,2006-09-18,"Made an Order for Return and answer tabled"
86,"39","39-1","39-1-Q-42","Q-42",357,"Irene Mathyssen","London—Fanshawe",1,2006-05-17,"Notice"
87,"39","39-1","39-1-Q-42","Q-42",357,"Irene Mathyssen","London—Fanshawe",2,2006-06-22,"Made an Order for Return and answer tabled"
88,"39","39-1","39-1-Q-43","Q-43",462,"Geoff Regan","Halifax West",1,2006-05-18,"Notice"
89,"39","39-1","39-1-Q-43","Q-43",462,"Geoff Regan","Halifax West",2,2006-06-22,"Made an Order for Return and answer tabled"
90,"39","39-1","39-1-Q-44","Q-44",166,"Paul Dewar","Ottawa Centre",1,2006-05-25,"Notice"
91,"39","39-1","39-1-Q-44","Q-44",166,"Paul Dewar","Ottawa Centre",2,2006-09-18,"Answered"
92,"39","39-1","39-1-Q-45","Q-45",127,"Olivia Chow","Trinity—Spadina",1,2006-05-29,"Notice"
93,"39","39-1","39-1-Q-45","Q-45",127,"Olivia Chow","Trinity—Spadina",2,2006-09-18,"Answered"
94,"39","39-1","39-1-Q-46","Q-46",127,"Olivia Chow","Trinity—Spadina",1,2006-05-29,"Notice"
95,"39","39-1","39-1-Q-46","Q-46",127,"Olivia Chow","Trinity—Spadina",2,2006-09-18,"Made an Order for Return and answer tabled"
96,"39","39-1","39-1-Q-47","Q-47",127,"Olivia Chow","Trinity—Spadina",1,2006-05-29,"Notice"
97,"39","39-1","39-1-Q-47","Q-47",127,"Olivia Chow","Trinity—Spadina",2,2006-06-22,"Answered"
98,"39","39-1","39-1-Q-48","Q-48",481,"Denise Savoie","Victoria",1,2006-05-29,"Notice"
99,"39","39-1","39-1-Q-48","Q-48",481,"Denise Savoie","Victoria",2,2006-09-18,"Made an Order for Return and answer tabled"
100,"39","39-1","39-1-Q-49","Q-49",481,"Denise Savoie","Victoria",1,2006-05-29,"Notice"
101,"39","39-1","39-1-Q-49","Q-49",481,"Denise Savoie","Victoria",2,2006-09-18,"Made an Order for Return and answer tabled"
102,"39","39-1","39-1-Q-50","Q-50",290,"Tina Keeper","Churchill",1,2006-05-30,"Notice"
103,"39","39-1","39-1-Q-50","Q-50",290,"Tina Keeper","Churchill",2,2006-09-18,"Made an Order for Return and answer tabled"
104,"39","39-1","39-1-Q-51","Q-51",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",1,2006-05-31,"Notice"
105,"39","39-1","39-1-Q-51","Q-51",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",2,2006-06-22,"Answered"
106,"39","39-1","39-1-Q-52","Q-52",203,"Raymonde Folco","Laval—Les Îles",1,2006-06-01,"Notice"
107,"39","39-1","39-1-Q-52","Q-52",203,"Raymonde Folco","Laval—Les Îles",2,2006-09-18,"Made an Order for Return and answer tabled"
108,"39","39-1","39-1-Q-53","Q-53",203,"Raymonde Folco","Laval—Les Îles",1,2006-06-01,"Notice"
109,"39","39-1","39-1-Q-53","Q-53",203,"Raymonde Folco","Laval—Les Îles",2,2006-09-18,"Made an Order for Return and answer tabled"
110,"39","39-1","39-1-Q-54","Q-54",203,"Raymonde Folco","Laval—Les Îles",1,2006-06-01,"Notice"
111,"39","39-1","39-1-Q-54","Q-54",203,"Raymonde Folco","Laval—Les Îles",2,2006-09-18,"Made an Order for Return and answer tabled"
112,"39","39-1","39-1-Q-55","Q-55",203,"Raymonde Folco","Laval—Les Îles",1,2006-06-01,"Notice"
113,"39","39-1","39-1-Q-55","Q-55",203,"Raymonde Folco","Laval—Les Îles",2,2006-09-18,"Made an Order for Return and answer tabled"
114,"39","39-1","39-1-Q-56","Q-56",269,"Mark Holland","Ajax—Pickering",1,2006-06-07,"Notice"
115,"39","39-1","39-1-Q-56","Q-56",269,"Mark Holland","Ajax—Pickering",2,2006-09-18,"Answered"
116,"39","39-1","39-1-Q-57","Q-57",475,"Todd Russell","Labrador",1,2006-06-07,"Notice"
117,"39","39-1","39-1-Q-57","Q-57",475,"Todd Russell","Labrador",2,2006-09-18,"Answered"
118,"39","39-1","39-1-Q-58","Q-58",396,"Richard Nadeau","Gatineau",1,2006-06-07,"Notice"
119,"39","39-1","39-1-Q-58","Q-58",396,"Richard Nadeau","Gatineau",2,2006-09-18,"Made an Order for Return and answer tabled"
120,"39","39-1","39-1-Q-59","Q-59",396,"Richard Nadeau","Gatineau",1,2006-06-07,"Notice"
121,"39","39-1","39-1-Q-59","Q-59",396,"Richard Nadeau","Gatineau",2,2006-09-18,"Answered"
122,"39","39-1","39-1-Q-60","Q-60",204,"Joe Fontana","London North Centre",1,2006-06-09,"Notice"
123,"39","39-1","39-1-Q-60","Q-60",204,"Joe Fontana","London North Centre",2,2006-09-18,"Made an Order for Return and answer tabled"
124,"39","39-1","39-1-Q-61","Q-61",488,"Andy Scott","Fredericton",1,2006-06-12,"Notice"
125,"39","39-1","39-1-Q-61","Q-61",488,"Andy Scott","Fredericton",2,2006-09-18,"Made an Order for Return and answer tabled"
126,"39","39-1","39-1-Q-62","Q-62",488,"Andy Scott","Fredericton",1,2006-06-12,"Notice"
127,"39","39-1","39-1-Q-62","Q-62",488,"Andy Scott","Fredericton",2,2006-09-18,"Made an Order for Return and answer tabled"
128,"39","39-1","39-1-Q-63","Q-63",488,"Andy Scott","Fredericton",1,2006-06-12,"Notice"
129,"39","39-1","39-1-Q-63","Q-63",488,"Andy Scott","Fredericton",2,2006-09-18,"Answered"
130,"39","39-1","39-1-Q-64","Q-64",488,"Andy Scott","Fredericton",1,2006-06-12,"Notice"
131,"39","39-1","39-1-Q-64","Q-64",488,"Andy Scott","Fredericton",2,2006-10-19,"Made an Order for Return and answer tabled"
132,"39","39-1","39-1-Q-65","Q-65",144,"Jean Crowder","Nanaimo—Cowichan",1,2006-06-12,"Notice"
133,"39","39-1","39-1-Q-65","Q-65",144,"Jean Crowder","Nanaimo—Cowichan",2,2006-09-18,"Answered"
134,"39","39-1","39-1-Q-66","Q-66",144,"Jean Crowder","Nanaimo—Cowichan",1,2006-06-12,"Notice"
135,"39","39-1","39-1-Q-66","Q-66",144,"Jean Crowder","Nanaimo—Cowichan",2,2006-09-18,"Made an Order for Return and answer tabled"
136,"39","39-1","39-1-Q-67","Q-67",283,"Peter Julian","Burnaby—New Westminster",1,2006-06-13,"Notice"
137,"39","39-1","39-1-Q-67","Q-67",283,"Peter Julian","Burnaby—New Westminster",2,2006-09-18,"Made an Order for Return and answer tabled"
138,"39","39-1","39-1-Q-68","Q-68",357,"Irene Mathyssen","London—Fanshawe",1,2006-06-13,"Notice"
139,"39","39-1","39-1-Q-68","Q-68",357,"Irene Mathyssen","London—Fanshawe",2,2006-09-18,"Answered"
140,"39","39-1","39-1-Q-69","Q-69",513,"Lloyd St. Amand","Brant",1,2006-06-15,"Notice"
141,"39","39-1","39-1-Q-69","Q-69",513,"Lloyd St. Amand","Brant",2,2006-09-18,"Answered"
142,"39","39-1","39-1-Q-70","Q-70",147,"John Cummins","Delta—Richmond East",1,2006-06-15,"Notice"
143,"39","39-1","39-1-Q-70","Q-70",147,"John Cummins","Delta—Richmond East",2,2006-11-20,"Made an Order for Return and answer tabled"
144,"39","39-1","39-1-Q-71","Q-71",146,"Roy Cullen","Etobicoke North",1,2006-06-19,"Notice"
145,"39","39-1","39-1-Q-71","Q-71",146,"Roy Cullen","Etobicoke North",2,2006-09-18,"Absence of a reply deemed referred to the Standing Committee on Natural Resources"
146,"39","39-1","39-1-Q-71","Q-71",146,"Roy Cullen","Etobicoke North",3,2006-09-19,"Made an Order for Return and answer tabled"
147,"39","39-1","39-1-Q-72","Q-72",146,"Roy Cullen","Etobicoke North",1,2006-06-19,"Notice"
148,"39","39-1","39-1-Q-72","Q-72",146,"Roy Cullen","Etobicoke North",2,2006-09-18,"Answered"
149,"39","39-1","39-1-Q-73","Q-73",146,"Roy Cullen","Etobicoke North",1,2006-06-19,"Notice"
150,"39","39-1","39-1-Q-73","Q-73",146,"Roy Cullen","Etobicoke North",2,2006-09-18,"Answered"
151,"39","39-1","39-1-Q-74","Q-74",146,"Roy Cullen","Etobicoke North",1,2006-06-19,"Notice"
152,"39","39-1","39-1-Q-74","Q-74",146,"Roy Cullen","Etobicoke North",2,2006-09-18,"Made an Order for Return and answer tabled"
153,"39","39-1","39-1-Q-75","Q-75",59,"Dawn Black","New Westminster—Coquitlam",1,2006-06-20,"Notice"
154,"39","39-1","39-1-Q-75","Q-75",59,"Dawn Black","New Westminster—Coquitlam",2,2006-09-18,"Made an Order for Return and answer tabled"
155,"39","39-1","39-1-Q-76","Q-76",59,"Dawn Black","New Westminster—Coquitlam",1,2006-06-20,"Notice"
156,"39","39-1","39-1-Q-76","Q-76",59,"Dawn Black","New Westminster—Coquitlam",2,2006-09-18,"Made an Order for Return and answer tabled"
157,"39","39-1","39-1-Q-77","Q-77",481,"Denise Savoie","Victoria",1,2006-06-20,"Notice"
158,"39","39-1","39-1-Q-77","Q-77",481,"Denise Savoie","Victoria",2,2006-09-18,"Made an Order for Return and answer tabled"
159,"39","39-1","39-1-Q-78","Q-78",120,"Chris Charlton","Hamilton Mountain",1,2006-06-20,"Notice"
160,"39","39-1","39-1-Q-78","Q-78",120,"Chris Charlton","Hamilton Mountain",2,2006-09-18,"Answered"
161,"39","39-1","39-1-Q-79","Q-79",398,"Peggy Nash","Parkdale—High Park",1,2006-06-20,"Notice"
162,"39","39-1","39-1-Q-79","Q-79",398,"Peggy Nash","Parkdale—High Park",2,2006-09-18,"Answered"
163,"39","39-1","39-1-Q-80","Q-80",398,"Peggy Nash","Parkdale—High Park",1,2006-06-20,"Notice"
164,"39","39-1","39-1-Q-80","Q-80",398,"Peggy Nash","Parkdale—High Park",2,2006-09-18,"Made an Order for Return and answer tabled"
165,"39","39-1","39-1-Q-81","Q-81",398,"Peggy Nash","Parkdale—High Park",1,2006-06-20,"Notice"
166,"39","39-1","39-1-Q-81","Q-81",398,"Peggy Nash","Parkdale—High Park",2,2006-09-18,"Made an Order for Return and answer tabled"
167,"39","39-1","39-1-Q-82","Q-82",513,"Lloyd St. Amand","Brant",1,2006-06-21,"Notice"
168,"39","39-1","39-1-Q-82","Q-82",513,"Lloyd St. Amand","Brant",2,2006-09-18,"Answered"
169,"39","39-1","39-1-Q-83","Q-83",554,"Roger Valley","Kenora",1,2006-06-21,"Notice"
170,"39","39-1","39-1-Q-83","Q-83",554,"Roger Valley","Kenora",2,2006-09-18,"Answered"
171,"39","39-1","39-1-Q-84","Q-84",414,"Christian Ouellet","Brome—Missisquoi",1,2006-06-21,"Notice"
172,"39","39-1","39-1-Q-84","Q-84",414,"Christian Ouellet","Brome—Missisquoi",2,2006-09-18,"Answered"
173,"39","39-1","39-1-Q-85","Q-85",128,"David Christopherson","Hamilton Centre",1,2006-06-21,"Notice"
174,"39","39-1","39-1-Q-85","Q-85",128,"David Christopherson","Hamilton Centre",2,2006-09-18,"Answered"
175,"39","39-1","39-1-Q-86","Q-86",128,"David Christopherson","Hamilton Centre",1,2006-06-21,"Notice"
176,"39","39-1","39-1-Q-86","Q-86",128,"David Christopherson","Hamilton Centre",2,2006-09-18,"Answered"
177,"39","39-1","39-1-Q-87","Q-87",357,"Irene Mathyssen","London—Fanshawe",1,2006-06-21,"Notice"
178,"39","39-1","39-1-Q-87","Q-87",357,"Irene Mathyssen","London—Fanshawe",2,2006-09-18,"Made an Order for Return and answer tabled"
179,"39","39-1","39-1-Q-88","Q-88",181,"Gilles Duceppe","Laurier—Sainte-Marie",1,2006-09-14,"Notice"
180,"39","39-1","39-1-Q-88","Q-88",181,"Gilles Duceppe","Laurier—Sainte-Marie",2,2006-10-24,"Made an Order for Return and answer tabled"
181,"39","39-1","39-1-Q-89","Q-89",22,"Charlie Angus","Timmins—James Bay",1,2006-09-19,"Notice"
182,"39","39-1","39-1-Q-89","Q-89",22,"Charlie Angus","Timmins—James Bay",2,2006-11-02,"Answered"
183,"39","39-1","39-1-Q-90","Q-90",59,"Dawn Black","New Westminster—Coquitlam",1,2006-09-19,"Notice"
184,"39","39-1","39-1-Q-91","Q-91",463,"Scott Reid","Lanark—Frontenac—Lennox and Addington",1,2006-09-19,"Notice"
185,"39","39-1","39-1-Q-91","Q-91",463,"Scott Reid","Lanark—Frontenac—Lennox and Addington",2,2006-10-02,"Withdrawn"
186,"39","39-1","39-1-Q-92","Q-92",144,"Jean Crowder","Nanaimo—Cowichan",1,2006-09-27,"Notice"
187,"39","39-1","39-1-Q-92","Q-92",144,"Jean Crowder","Nanaimo—Cowichan",2,2006-11-06,"Made an Order for Return and answer tabled"
188,"39","39-1","39-1-Q-93","Q-93",363,"Alexa McDonough","Halifax",1,2006-09-28,"Notice"
189,"39","39-1","39-1-Q-93","Q-93",363,"Alexa McDonough","Halifax",2,2006-11-08,"Made an Order for Return and answer tabled"
190,"39","39-1","39-1-Q-94","Q-94",449,"Penny Priddy","Surrey North",1,2006-09-28,"Notice"
191,"39","39-1","39-1-Q-94","Q-94",449,"Penny Priddy","Surrey North",2,2006-11-20,"Answered"
192,"39","39-1","39-1-Q-95","Q-95",357,"Irene Mathyssen","London—Fanshawe",1,2006-10-03,"Notice"
193,"39","39-1","39-1-Q-95","Q-95",357,"Irene Mathyssen","London—Fanshawe",2,2006-11-08,"Answered"
194,"39","39-1","39-1-Q-96","Q-96",357,"Irene Mathyssen","London—Fanshawe",1,2006-10-03,"Notice"
195,"39","39-1","39-1-Q-96","Q-96",357,"Irene Mathyssen","London—Fanshawe",2,2006-11-20,"Answered"
196,"39","39-1","39-1-Q-97","Q-97",421,"Pierre Paquette","Joliette",1,2006-10-03,"Notice"
197,"39","39-1","39-1-Q-97","Q-97",421,"Pierre Paquette","Joliette",2,2006-11-03,"Answered"
198,"39","39-1","39-1-Q-98","Q-98",421,"Pierre Paquette","Joliette",1,2006-10-03,"Notice"
199,"39","39-1","39-1-Q-98","Q-98",421,"Pierre Paquette","Joliette",2,2006-11-03,"Answered"
200,"39","39-1","39-1-Q-99","Q-99",357,"Irene Mathyssen","London—Fanshawe",1,2006-10-05,"Notice"
201,"39","39-1","39-1-Q-99","Q-99",357,"Irene Mathyssen","London—Fanshawe",2,2006-11-20,"Made an Order for Return and answer tabled"
202,"39","39-1","39-1-Q-100","Q-100",127,"Olivia Chow","Trinity—Spadina",1,2006-10-12,"Notice"
203,"39","39-1","39-1-Q-100","Q-100",127,"Olivia Chow","Trinity—Spadina",2,2006-11-20,"Answered"
204,"39","39-1","39-1-Q-101","Q-101",127,"Olivia Chow","Trinity—Spadina",1,2006-10-12,"Notice"
205,"39","39-1","39-1-Q-101","Q-101",127,"Olivia Chow","Trinity—Spadina",2,2006-11-27,"Answered"
206,"39","39-1","39-1-Q-102","Q-102",127,"Olivia Chow","Trinity—Spadina",1,2006-10-12,"Notice"
207,"39","39-1","39-1-Q-102","Q-102",127,"Olivia Chow","Trinity—Spadina",2,2006-11-27,"Answered"
208,"39","39-1","39-1-Q-103","Q-103",421,"Pierre Paquette","Joliette",1,2006-10-12,"Notice"
209,"39","39-1","39-1-Q-103","Q-103",421,"Pierre Paquette","Joliette",2,2006-11-24,"Answered"
210,"39","39-1","39-1-Q-104","Q-104",463,"Scott Reid","Lanark—Frontenac—Lennox and Addington",1,2006-10-17,"Notice"
211,"39","39-1","39-1-Q-104","Q-104",463,"Scott Reid","Lanark—Frontenac—Lennox and Addington",2,2006-12-04,"Made an Order for Return and answer tabled"
212,"39","39-1","39-1-Q-105","Q-105",120,"Chris Charlton","Hamilton Mountain",1,2006-10-17,"Notice"
213,"39","39-1","39-1-Q-105","Q-105",120,"Chris Charlton","Hamilton Mountain",2,2006-11-29,"Made an Order for Return and answer tabled"
214,"39","39-1","39-1-Q-106","Q-106",59,"Dawn Black","New Westminster—Coquitlam",1,2006-11-02,"Made an Order for Return and answer tabled"
215,"39","39-1","39-1-Q-106","Q-106",59,"Dawn Black","New Westminster—Coquitlam",2,2006-11-10,"Made an Order for Return and supplementary answer tabled"
216,"39","39-1","39-1-Q-106","Q-106",59,"Dawn Black","New Westminster—Coquitlam",3,NA,"Notice"
217,"39","39-1","39-1-Q-107","Q-107",59,"Dawn Black","New Westminster—Coquitlam",1,2006-11-01,"Made an Order for Return and answer tabled"
218,"39","39-1","39-1-Q-107","Q-107",59,"Dawn Black","New Westminster—Coquitlam",2,NA,"Notice"
219,"39","39-1","39-1-Q-108","Q-108",59,"Dawn Black","New Westminster—Coquitlam",1,2006-11-02,"Made an Order for Return and answer tabled"
220,"39","39-1","39-1-Q-108","Q-108",59,"Dawn Black","New Westminster—Coquitlam",2,2006-11-10,"Made an Order for Return and supplementary answer tabled"
221,"39","39-1","39-1-Q-108","Q-108",59,"Dawn Black","New Westminster—Coquitlam",3,NA,"Notice"
222,"39","39-1","39-1-Q-109","Q-109",59,"Dawn Black","New Westminster—Coquitlam",1,2006-10-23,"Notice"
223,"39","39-1","39-1-Q-109","Q-109",59,"Dawn Black","New Westminster—Coquitlam",2,2006-12-06,"Made an Order for Return and answer tabled"
224,"39","39-1","39-1-Q-110","Q-110",73,"Ken Boshcoff","Thunder Bay—Rainy River",1,2006-10-25,"Notice"
225,"39","39-1","39-1-Q-110","Q-110",73,"Ken Boshcoff","Thunder Bay—Rainy River",2,2007-04-30,"Answered"
226,"39","39-1","39-1-Q-111","Q-111",481,"Denise Savoie","Victoria",1,2006-10-31,"Notice"
