"","committee_acronym","parliament_number","session_number","date_change","title","first_name","last_name","full_name"
"4.4","AANO","38","1","2005-10-07","Member","Sue","Barnes","Sue Barnes"
"4.5","AANO","38","1","2005-10-07","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"4.6","AANO","38","1","2005-10-07","Member","Inky","Mark","Inky Mark"
"4.7","AANO","38","1","2005-10-07","Member","Pat","Martin","Pat Martin"
"4.8","AANO","38","1","2005-10-07","Member","Serge","Ménard","Serge Ménard"
"4.9","AANO","38","1","2005-10-07","Member","Jim","Prentice","Jim Prentice"
"4.10","AANO","38","1","2005-10-07","Member","Carol","Skelton","Carol Skelton"
"4.11","AANO","38","1","2005-10-07","Member","David","Smith","David Smith"
"4.12","AANO","38","1","2005-10-07","Member","Roger","Valley","Roger Valley"
"5.1","AANO","38","1","2005-10-18","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"5.2","AANO","38","1","2005-10-18","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"5.3","AANO","38","1","2005-10-18","Co-chair","Bernard","Cleary","Bernard Cleary"
"5.4","AANO","38","1","2005-10-18","Member","Sue","Barnes","Sue Barnes"
"5.5","AANO","38","1","2005-10-18","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"5.6","AANO","38","1","2005-10-18","Member","Inky","Mark","Inky Mark"
"5.7","AANO","38","1","2005-10-18","Member","Pat","Martin","Pat Martin"
"5.8","AANO","38","1","2005-10-18","Member","Serge","Ménard","Serge Ménard"
"5.9","AANO","38","1","2005-10-18","Member","Jim","Prentice","Jim Prentice"
"5.10","AANO","38","1","2005-10-18","Member","Carol","Skelton","Carol Skelton"
"5.11","AANO","38","1","2005-10-18","Member","David","Smith","David Smith"
"5.12","AANO","38","1","2005-10-18","Member","Roger","Valley","Roger Valley"
"6.1","AANO","38","1","2005-11-29","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"6.2","AANO","38","1","2005-11-29","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"6.3","AANO","38","1","2005-11-29","Co-chair","Bernard","Cleary","Bernard Cleary"
"6.4","AANO","38","1","2005-11-29","Member","Sue","Barnes","Sue Barnes"
"6.5","AANO","38","1","2005-11-29","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"6.6","AANO","38","1","2005-11-29","Member","Inky","Mark","Inky Mark"
"6.7","AANO","38","1","2005-11-29","Member","Pat","Martin","Pat Martin"
"6.8","AANO","38","1","2005-11-29","Member","Serge","Ménard","Serge Ménard"
"6.9","AANO","38","1","2005-11-29","Member","Jim","Prentice","Jim Prentice"
"6.10","AANO","38","1","2005-11-29","Member","Carol","Skelton","Carol Skelton"
"6.11","AANO","38","1","2005-11-29","Member","David","Smith","David Smith"
"6.12","AANO","38","1","2005-11-29","Member","Roger","Valley","Roger Valley"
"7.1","AANO","39","1","2006-04-26","Chair","Colin","Mayes","Colin Mayes"
"7.2","AANO","39","1","2006-04-26","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"7.3","AANO","39","1","2006-04-26","Co-chair","Jean","Crowder","Jean Crowder"
"7.4","AANO","39","1","2006-04-26","Member","Harold","Albrecht","Harold Albrecht"
"7.5","AANO","39","1","2006-04-26","Member","Larry","Bagnell","Larry Bagnell"
"7.6","AANO","39","1","2006-04-26","Member","Steven","Blaney","Steven Blaney"
"7.7","AANO","39","1","2006-04-26","Member","Rod","Bruinooge","Rod Bruinooge"
"7.8","AANO","39","1","2006-04-26","Member","Marc","Lemay","Marc Lemay"
"7.9","AANO","39","1","2006-04-26","Member","Yvon","Lévesque","Yvon Lévesque"
"7.10","AANO","39","1","2006-04-26","Member","Anita","Neville","Anita Neville"
"7.11","AANO","39","1","2006-04-26","Member","Todd Norman","Russell","Todd Norman Russell"
"7.12","AANO","39","1","2006-04-26","Member","Brian","Storseth","Brian Storseth"
"8.1","AANO","39","1","2006-04-28","Chair","Colin","Mayes","Colin Mayes"
"8.2","AANO","39","1","2006-04-28","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"8.3","AANO","39","1","2006-04-28","Co-chair","Jean","Crowder","Jean Crowder"
"8.4","AANO","39","1","2006-04-28","Member","Harold","Albrecht","Harold Albrecht"
"8.5","AANO","39","1","2006-04-28","Member","Larry","Bagnell","Larry Bagnell"
"8.6","AANO","39","1","2006-04-28","Member","Steven","Blaney","Steven Blaney"
"8.7","AANO","39","1","2006-04-28","Member","Rod","Bruinooge","Rod Bruinooge"
"8.8","AANO","39","1","2006-04-28","Member","Marc","Lemay","Marc Lemay"
"8.9","AANO","39","1","2006-04-28","Member","Yvon","Lévesque","Yvon Lévesque"
"8.10","AANO","39","1","2006-04-28","Member","Anita","Neville","Anita Neville"
"8.11","AANO","39","1","2006-04-28","Member","Todd Norman","Russell","Todd Norman Russell"
"8.12","AANO","39","1","2006-04-28","Member","Brian","Storseth","Brian Storseth"
"9.1","AANO","39","1","2006-05-01","Chair","Colin","Mayes","Colin Mayes"
"9.2","AANO","39","1","2006-05-01","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"9.3","AANO","39","1","2006-05-01","Co-chair","Jean","Crowder","Jean Crowder"
"9.4","AANO","39","1","2006-05-01","Member","Harold","Albrecht","Harold Albrecht"
"9.5","AANO","39","1","2006-05-01","Member","Larry","Bagnell","Larry Bagnell"
"9.6","AANO","39","1","2006-05-01","Member","Steven","Blaney","Steven Blaney"
"9.7","AANO","39","1","2006-05-01","Member","Rod","Bruinooge","Rod Bruinooge"
"9.8","AANO","39","1","2006-05-01","Member","Marc","Lemay","Marc Lemay"
"9.9","AANO","39","1","2006-05-01","Member","Yvon","Lévesque","Yvon Lévesque"
"9.10","AANO","39","1","2006-05-01","Member","Anita","Neville","Anita Neville"
"9.11","AANO","39","1","2006-05-01","Member","Todd Norman","Russell","Todd Norman Russell"
"9.12","AANO","39","1","2006-05-01","Member","Brian","Storseth","Brian Storseth"
"10.1","AANO","39","1","2006-05-10","Chair","Colin","Mayes","Colin Mayes"
"10.2","AANO","39","1","2006-05-10","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"10.3","AANO","39","1","2006-05-10","Co-chair","Jean","Crowder","Jean Crowder"
"10.4","AANO","39","1","2006-05-10","Member","Harold","Albrecht","Harold Albrecht"
"10.5","AANO","39","1","2006-05-10","Member","Larry","Bagnell","Larry Bagnell"
"10.6","AANO","39","1","2006-05-10","Member","Steven","Blaney","Steven Blaney"
"10.7","AANO","39","1","2006-05-10","Member","Rod","Bruinooge","Rod Bruinooge"
"10.8","AANO","39","1","2006-05-10","Member","Marc","Lemay","Marc Lemay"
"10.9","AANO","39","1","2006-05-10","Member","Yvon","Lévesque","Yvon Lévesque"
"10.10","AANO","39","1","2006-05-10","Member","Anita","Neville","Anita Neville"
"10.11","AANO","39","1","2006-05-10","Member","Todd Norman","Russell","Todd Norman Russell"
"10.12","AANO","39","1","2006-05-10","Member","Brian","Storseth","Brian Storseth"
"11.1","AANO","39","1","2006-05-30","Chair","Colin","Mayes","Colin Mayes"
"11.2","AANO","39","1","2006-05-30","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"11.3","AANO","39","1","2006-05-30","Co-chair","Jean","Crowder","Jean Crowder"
"11.4","AANO","39","1","2006-05-30","Member","Harold","Albrecht","Harold Albrecht"
"11.5","AANO","39","1","2006-05-30","Member","Larry","Bagnell","Larry Bagnell"
"11.6","AANO","39","1","2006-05-30","Member","Steven","Blaney","Steven Blaney"
"11.7","AANO","39","1","2006-05-30","Member","Rod","Bruinooge","Rod Bruinooge"
"11.8","AANO","39","1","2006-05-30","Member","Marc","Lemay","Marc Lemay"
"11.9","AANO","39","1","2006-05-30","Member","Yvon","Lévesque","Yvon Lévesque"
"11.10","AANO","39","1","2006-05-30","Member","Anita","Neville","Anita Neville"
"11.11","AANO","39","1","2006-05-30","Member","Todd Norman","Russell","Todd Norman Russell"
"11.12","AANO","39","1","2006-05-30","Member","Brian","Storseth","Brian Storseth"
"12.1","AANO","39","1","2006-09-21","Chair","Colin","Mayes","Colin Mayes"
"12.2","AANO","39","1","2006-09-21","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"12.3","AANO","39","1","2006-09-21","Co-chair","Jean","Crowder","Jean Crowder"
"12.4","AANO","39","1","2006-09-21","Member","Harold","Albrecht","Harold Albrecht"
"12.5","AANO","39","1","2006-09-21","Member","Larry","Bagnell","Larry Bagnell"
"12.6","AANO","39","1","2006-09-21","Member","Steven","Blaney","Steven Blaney"
"12.7","AANO","39","1","2006-09-21","Member","Rod","Bruinooge","Rod Bruinooge"
"12.8","AANO","39","1","2006-09-21","Member","Marc","Lemay","Marc Lemay"
"12.9","AANO","39","1","2006-09-21","Member","Yvon","Lévesque","Yvon Lévesque"
"12.10","AANO","39","1","2006-09-21","Member","Anita","Neville","Anita Neville"
"12.11","AANO","39","1","2006-09-21","Member","Todd Norman","Russell","Todd Norman Russell"
"12.12","AANO","39","1","2006-09-21","Member","Brian","Storseth","Brian Storseth"
"13.1","AANO","39","1","2006-09-26","Chair","Colin","Mayes","Colin Mayes"
"13.2","AANO","39","1","2006-09-26","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"13.3","AANO","39","1","2006-09-26","Co-chair","Jean","Crowder","Jean Crowder"
"13.4","AANO","39","1","2006-09-26","Member","Harold","Albrecht","Harold Albrecht"
"13.5","AANO","39","1","2006-09-26","Member","Larry","Bagnell","Larry Bagnell"
"13.6","AANO","39","1","2006-09-26","Member","Steven","Blaney","Steven Blaney"
"13.7","AANO","39","1","2006-09-26","Member","Rod","Bruinooge","Rod Bruinooge"
"13.8","AANO","39","1","2006-09-26","Member","Marc","Lemay","Marc Lemay"
"13.9","AANO","39","1","2006-09-26","Member","Yvon","Lévesque","Yvon Lévesque"
"13.10","AANO","39","1","2006-09-26","Member","Anita","Neville","Anita Neville"
"13.11","AANO","39","1","2006-09-26","Member","Todd Norman","Russell","Todd Norman Russell"
"13.12","AANO","39","1","2006-09-26","Member","Brian","Storseth","Brian Storseth"
"14.1","AANO","39","1","2006-11-09","Chair","Colin","Mayes","Colin Mayes"
"14.2","AANO","39","1","2006-11-09","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"14.3","AANO","39","1","2006-11-09","Co-chair","Jean","Crowder","Jean Crowder"
"14.4","AANO","39","1","2006-11-09","Member","Harold","Albrecht","Harold Albrecht"
"14.5","AANO","39","1","2006-11-09","Member","Larry","Bagnell","Larry Bagnell"
"14.6","AANO","39","1","2006-11-09","Member","Steven","Blaney","Steven Blaney"
"14.7","AANO","39","1","2006-11-09","Member","Rod","Bruinooge","Rod Bruinooge"
"14.8","AANO","39","1","2006-11-09","Member","Marc","Lemay","Marc Lemay"
"14.9","AANO","39","1","2006-11-09","Member","Yvon","Lévesque","Yvon Lévesque"
"14.10","AANO","39","1","2006-11-09","Member","Anita","Neville","Anita Neville"
"14.11","AANO","39","1","2006-11-09","Member","Todd Norman","Russell","Todd Norman Russell"
"14.12","AANO","39","1","2006-11-09","Member","Brian","Storseth","Brian Storseth"
"15.1","AANO","39","1","2007-02-07","Chair","Colin","Mayes","Colin Mayes"
"15.2","AANO","39","1","2007-02-07","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"15.3","AANO","39","1","2007-02-07","Co-chair","Jean","Crowder","Jean Crowder"
"15.4","AANO","39","1","2007-02-07","Member","Harold","Albrecht","Harold Albrecht"
"15.5","AANO","39","1","2007-02-07","Member","Larry","Bagnell","Larry Bagnell"
"15.6","AANO","39","1","2007-02-07","Member","Steven","Blaney","Steven Blaney"
"15.7","AANO","39","1","2007-02-07","Member","Rod","Bruinooge","Rod Bruinooge"
"15.8","AANO","39","1","2007-02-07","Member","Marc","Lemay","Marc Lemay"
"15.9","AANO","39","1","2007-02-07","Member","Yvon","Lévesque","Yvon Lévesque"
"15.10","AANO","39","1","2007-02-07","Member","Anita","Neville","Anita Neville"
"15.11","AANO","39","1","2007-02-07","Member","Todd Norman","Russell","Todd Norman Russell"
"15.12","AANO","39","1","2007-02-07","Member","Brian","Storseth","Brian Storseth"
"16.1","AANO","39","1","2007-09-14","Chair","Colin","Mayes","Colin Mayes"
"16.2","AANO","39","1","2007-09-14","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"16.3","AANO","39","1","2007-09-14","Co-chair","Jean","Crowder","Jean Crowder"
"16.4","AANO","39","1","2007-09-14","Member","Harold","Albrecht","Harold Albrecht"
"16.5","AANO","39","1","2007-09-14","Member","Larry","Bagnell","Larry Bagnell"
"16.6","AANO","39","1","2007-09-14","Member","Steven","Blaney","Steven Blaney"
"16.7","AANO","39","1","2007-09-14","Member","Rod","Bruinooge","Rod Bruinooge"
"16.8","AANO","39","1","2007-09-14","Member","Marc","Lemay","Marc Lemay"
"16.9","AANO","39","1","2007-09-14","Member","Yvon","Lévesque","Yvon Lévesque"
"16.10","AANO","39","1","2007-09-14","Member","Anita","Neville","Anita Neville"
"16.11","AANO","39","1","2007-09-14","Member","Todd Norman","Russell","Todd Norman Russell"
"16.12","AANO","39","1","2007-09-14","Member","Brian","Storseth","Brian Storseth"
"17.1","AANO","39","2","2007-10-31","Chair","Barry","Devolin","Barry Devolin"
"17.2","AANO","39","2","2007-10-31","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"17.3","AANO","39","2","2007-10-31","Co-chair","Jean","Crowder","Jean Crowder"
"17.4","AANO","39","2","2007-10-31","Member","Harold","Albrecht","Harold Albrecht"
"17.5","AANO","39","2","2007-10-31","Member","Rod","Bruinooge","Rod Bruinooge"
"17.6","AANO","39","2","2007-10-31","Member","Rob","Clarke","Rob Clarke"
"17.7","AANO","39","2","2007-10-31","Member","Tina","Keeper","Tina Keeper"
"17.8","AANO","39","2","2007-10-31","Member","Marc","Lemay","Marc Lemay"
"17.9","AANO","39","2","2007-10-31","Member","Yvon","Lévesque","Yvon Lévesque"
"17.10","AANO","39","2","2007-10-31","Member","Anita","Neville","Anita Neville"
"17.11","AANO","39","2","2007-10-31","Member","Todd Norman","Russell","Todd Norman Russell"
"17.12","AANO","39","2","2007-10-31","Member","Chris","Warkentin","Chris Warkentin"
"18.1","AANO","39","2","2007-11-13","Chair","Barry","Devolin","Barry Devolin"
"18.2","AANO","39","2","2007-11-13","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"18.3","AANO","39","2","2007-11-13","Co-chair","Jean","Crowder","Jean Crowder"
"18.4","AANO","39","2","2007-11-13","Member","Harold","Albrecht","Harold Albrecht"
"18.5","AANO","39","2","2007-11-13","Member","Rod","Bruinooge","Rod Bruinooge"
"18.6","AANO","39","2","2007-11-13","Member","Rob","Clarke","Rob Clarke"
"18.7","AANO","39","2","2007-11-13","Member","Tina","Keeper","Tina Keeper"
"18.8","AANO","39","2","2007-11-13","Member","Marc","Lemay","Marc Lemay"
"18.9","AANO","39","2","2007-11-13","Member","Yvon","Lévesque","Yvon Lévesque"
"18.10","AANO","39","2","2007-11-13","Member","Anita","Neville","Anita Neville"
"18.11","AANO","39","2","2007-11-13","Member","Todd Norman","Russell","Todd Norman Russell"
"18.12","AANO","39","2","2007-11-13","Member","Chris","Warkentin","Chris Warkentin"
"19.1","AANO","39","2","2008-04-04","Chair","Barry","Devolin","Barry Devolin"
"19.2","AANO","39","2","2008-04-04","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"19.3","AANO","39","2","2008-04-04","Co-chair","Jean","Crowder","Jean Crowder"
"19.4","AANO","39","2","2008-04-04","Member","Harold","Albrecht","Harold Albrecht"
"19.5","AANO","39","2","2008-04-04","Member","Rod","Bruinooge","Rod Bruinooge"
"19.6","AANO","39","2","2008-04-04","Member","Rob","Clarke","Rob Clarke"
"19.7","AANO","39","2","2008-04-04","Member","Tina","Keeper","Tina Keeper"
"19.8","AANO","39","2","2008-04-04","Member","Marc","Lemay","Marc Lemay"
"19.9","AANO","39","2","2008-04-04","Member","Yvon","Lévesque","Yvon Lévesque"
"19.10","AANO","39","2","2008-04-04","Member","Anita","Neville","Anita Neville"
"19.11","AANO","39","2","2008-04-04","Member","Todd Norman","Russell","Todd Norman Russell"
"19.12","AANO","39","2","2008-04-04","Member","Chris","Warkentin","Chris Warkentin"
"20.1","AANO","39","2","2008-09-07","Chair","Barry","Devolin","Barry Devolin"
"20.2","AANO","39","2","2008-09-07","Co-chair","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"20.3","AANO","39","2","2008-09-07","Co-chair","Jean","Crowder","Jean Crowder"
"20.4","AANO","39","2","2008-09-07","Member","Harold","Albrecht","Harold Albrecht"
"20.5","AANO","39","2","2008-09-07","Member","Rod","Bruinooge","Rod Bruinooge"
"20.6","AANO","39","2","2008-09-07","Member","Rob","Clarke","Rob Clarke"
"20.7","AANO","39","2","2008-09-07","Member","Tina","Keeper","Tina Keeper"
"20.8","AANO","39","2","2008-09-07","Member","Marc","Lemay","Marc Lemay"
"20.9","AANO","39","2","2008-09-07","Member","Yvon","Lévesque","Yvon Lévesque"
"20.10","AANO","39","2","2008-09-07","Member","Anita","Neville","Anita Neville"
"20.11","AANO","39","2","2008-09-07","Member","Todd Norman","Russell","Todd Norman Russell"
"20.12","AANO","39","2","2008-09-07","Member","Chris","Warkentin","Chris Warkentin"
"21.1","AANO","40","2","2009-01-27","Chair","Bruce","Stanton","Bruce Stanton"
"21.2","AANO","40","2","2009-01-27","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"21.3","AANO","40","2","2009-01-27","Co-chair","Jean","Crowder","Jean Crowder"
"21.4","AANO","40","2","2009-01-27","Member","Larry","Bagnell","Larry Bagnell"
"21.5","AANO","40","2","2009-01-27","Member","Mauril","Bélanger","Mauril Bélanger"
"21.6","AANO","40","2","2009-01-27","Member","Rob","Clarke","Rob Clarke"
"21.7","AANO","40","2","2009-01-27","Member","Earl","Dreeshen","Earl Dreeshen"
"21.8","AANO","40","2","2009-01-27","Member","John","Duncan","John Duncan"
"21.9","AANO","40","2","2009-01-27","Member","Marc","Lemay","Marc Lemay"
"21.10","AANO","40","2","2009-01-27","Member","Yvon","Lévesque","Yvon Lévesque"
"21.11","AANO","40","2","2009-01-27","Member","LaVar","Payne","LaVar Payne"
"21.12","AANO","40","2","2009-01-27","Member","Greg","Rickford","Greg Rickford"
"22.1","AANO","40","2","2009-02-03","Chair","Bruce","Stanton","Bruce Stanton"
"22.2","AANO","40","2","2009-02-03","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"22.3","AANO","40","2","2009-02-03","Co-chair","Jean","Crowder","Jean Crowder"
"22.4","AANO","40","2","2009-02-03","Member","Larry","Bagnell","Larry Bagnell"
"22.5","AANO","40","2","2009-02-03","Member","Mauril","Bélanger","Mauril Bélanger"
"22.6","AANO","40","2","2009-02-03","Member","Rob","Clarke","Rob Clarke"
"22.7","AANO","40","2","2009-02-03","Member","Earl","Dreeshen","Earl Dreeshen"
"22.8","AANO","40","2","2009-02-03","Member","John","Duncan","John Duncan"
"22.9","AANO","40","2","2009-02-03","Member","Marc","Lemay","Marc Lemay"
"22.10","AANO","40","2","2009-02-03","Member","Yvon","Lévesque","Yvon Lévesque"
"22.11","AANO","40","2","2009-02-03","Member","LaVar","Payne","LaVar Payne"
"22.12","AANO","40","2","2009-02-03","Member","Greg","Rickford","Greg Rickford"
"23.1","AANO","40","2","2009-09-28","Chair","Bruce","Stanton","Bruce Stanton"
"23.2","AANO","40","2","2009-09-28","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"23.3","AANO","40","2","2009-09-28","Co-chair","Jean","Crowder","Jean Crowder"
"23.4","AANO","40","2","2009-09-28","Member","Larry","Bagnell","Larry Bagnell"
"23.5","AANO","40","2","2009-09-28","Member","Mauril","Bélanger","Mauril Bélanger"
"23.6","AANO","40","2","2009-09-28","Member","Rob","Clarke","Rob Clarke"
"23.7","AANO","40","2","2009-09-28","Member","Earl","Dreeshen","Earl Dreeshen"
"23.8","AANO","40","2","2009-09-28","Member","John","Duncan","John Duncan"
"23.9","AANO","40","2","2009-09-28","Member","Marc","Lemay","Marc Lemay"
"23.10","AANO","40","2","2009-09-28","Member","Yvon","Lévesque","Yvon Lévesque"
"23.11","AANO","40","2","2009-09-28","Member","LaVar","Payne","LaVar Payne"
"23.12","AANO","40","2","2009-09-28","Member","Greg","Rickford","Greg Rickford"
"24.1","AANO","40","2","2009-10-01","Chair","Bruce","Stanton","Bruce Stanton"
"24.2","AANO","40","2","2009-10-01","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"24.3","AANO","40","2","2009-10-01","Co-chair","Jean","Crowder","Jean Crowder"
"24.4","AANO","40","2","2009-10-01","Member","Larry","Bagnell","Larry Bagnell"
"24.5","AANO","40","2","2009-10-01","Member","Mauril","Bélanger","Mauril Bélanger"
"24.6","AANO","40","2","2009-10-01","Member","Rob","Clarke","Rob Clarke"
"24.7","AANO","40","2","2009-10-01","Member","Earl","Dreeshen","Earl Dreeshen"
"24.8","AANO","40","2","2009-10-01","Member","John","Duncan","John Duncan"
"24.9","AANO","40","2","2009-10-01","Member","Marc","Lemay","Marc Lemay"
"24.10","AANO","40","2","2009-10-01","Member","Yvon","Lévesque","Yvon Lévesque"
"24.11","AANO","40","2","2009-10-01","Member","LaVar","Payne","LaVar Payne"
"24.12","AANO","40","2","2009-10-01","Member","Greg","Rickford","Greg Rickford"
"25.1","AANO","40","2","2009-10-02","Chair","Bruce","Stanton","Bruce Stanton"
"25.2","AANO","40","2","2009-10-02","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"25.3","AANO","40","2","2009-10-02","Co-chair","Jean","Crowder","Jean Crowder"
"25.4","AANO","40","2","2009-10-02","Member","Larry","Bagnell","Larry Bagnell"
"25.5","AANO","40","2","2009-10-02","Member","Mauril","Bélanger","Mauril Bélanger"
"25.6","AANO","40","2","2009-10-02","Member","Rob","Clarke","Rob Clarke"
"25.7","AANO","40","2","2009-10-02","Member","Earl","Dreeshen","Earl Dreeshen"
"25.8","AANO","40","2","2009-10-02","Member","John","Duncan","John Duncan"
"25.9","AANO","40","2","2009-10-02","Member","Marc","Lemay","Marc Lemay"
"25.10","AANO","40","2","2009-10-02","Member","Yvon","Lévesque","Yvon Lévesque"
"25.11","AANO","40","2","2009-10-02","Member","LaVar","Payne","LaVar Payne"
"25.12","AANO","40","2","2009-10-02","Member","Greg","Rickford","Greg Rickford"
"26.1","AANO","40","2","2009-12-30","Chair","Bruce","Stanton","Bruce Stanton"
"26.2","AANO","40","2","2009-12-30","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"26.3","AANO","40","2","2009-12-30","Co-chair","Jean","Crowder","Jean Crowder"
"26.4","AANO","40","2","2009-12-30","Member","Larry","Bagnell","Larry Bagnell"
"26.5","AANO","40","2","2009-12-30","Member","Mauril","Bélanger","Mauril Bélanger"
"26.6","AANO","40","2","2009-12-30","Member","Rob","Clarke","Rob Clarke"
"26.7","AANO","40","2","2009-12-30","Member","Earl","Dreeshen","Earl Dreeshen"
"26.8","AANO","40","2","2009-12-30","Member","John","Duncan","John Duncan"
"26.9","AANO","40","2","2009-12-30","Member","Marc","Lemay","Marc Lemay"
"26.10","AANO","40","2","2009-12-30","Member","Yvon","Lévesque","Yvon Lévesque"
"26.11","AANO","40","2","2009-12-30","Member","LaVar","Payne","LaVar Payne"
"26.12","AANO","40","2","2009-12-30","Member","Greg","Rickford","Greg Rickford"
"27.1","AANO","40","3","2010-03-04","Chair","Bruce","Stanton","Bruce Stanton"
"27.2","AANO","40","3","2010-03-04","Co-chair","Todd Norman","Russell","Todd Norman Russell"
"27.3","AANO","40","3","2010-03-04","Co-chair","Jean","Crowder","Jean Crowder"
"27.4","AANO","40","3","2010-03-04","Member","Larry","Bagnell","Larry Bagnell"
"27.5","AANO","40","3","2010-03-04","Member","Rob","Clarke","Rob Clarke"
"27.6","AANO","40","3","2010-03-04","Member","Earl","Dreeshen","Earl Dreeshen"
"27.7","AANO","40","3","2010-03-04","Member","Marc","Lemay","Marc Lemay"
"27.8","AANO","40","3","2010-03-04","Member","Yvon","Lévesque","Yvon Lévesque"
"27.9","AANO","40","3","2010-03-04","Member","Anita","Neville","Anita Neville"
