"","committee_acronym","parliament_number","session_number","date_change","position","full_name"
"38.54","BILI","40","3","2011-03-26","Associate Member","Pierre Lemieux"
"38.55","BILI","40","3","2011-03-26","Associate Member","Ben Lobb"
"38.56","BILI","40","3","2011-03-26","Associate Member","Tom Lukiwski"
"38.57","BILI","40","3","2011-03-26","Associate Member","Dave MacKenzie"
"38.58","BILI","40","3","2011-03-26","Associate Member","Colin Mayes"
"38.59","BILI","40","3","2011-03-26","Associate Member","Phil McColeman"
"38.60","BILI","40","3","2011-03-26","Associate Member","Cathy McLeod"
"38.61","BILI","40","3","2011-03-26","Associate Member","Ted Menzies"
"38.62","BILI","40","3","2011-03-26","Associate Member","Larry Miller"
"38.63","BILI","40","3","2011-03-26","Associate Member","Rick Norlock"
"38.64","BILI","40","3","2011-03-26","Associate Member","Deepak Obhrai"
"38.65","BILI","40","3","2011-03-26","Associate Member","Tilly O'Neill Gordon"
"38.66","BILI","40","3","2011-03-26","Associate Member","LaVar Payne"
"38.67","BILI","40","3","2011-03-26","Associate Member","Daniel Petit"
"38.68","BILI","40","3","2011-03-26","Associate Member","Pierre Poilievre"
"38.69","BILI","40","3","2011-03-26","Associate Member","Joe Preston"
"38.70","BILI","40","3","2011-03-26","Associate Member","James Rajotte"
"38.71","BILI","40","3","2011-03-26","Associate Member","Brent Rathgeber"
"38.72","BILI","40","3","2011-03-26","Associate Member","Scott Reid"
"38.73","BILI","40","3","2011-03-26","Associate Member","Blake Richards"
"38.74","BILI","40","3","2011-03-26","Associate Member","Lee Richardson"
"38.75","BILI","40","3","2011-03-26","Associate Member","Greg Rickford"
"38.76","BILI","40","3","2011-03-26","Associate Member","Andrew Saxton"
"38.77","BILI","40","3","2011-03-26","Associate Member","Gary Schellenberger"
"38.78","BILI","40","3","2011-03-26","Associate Member","Bev Shipley"
"38.79","BILI","40","3","2011-03-26","Associate Member","Devinder Shory"
"38.80","BILI","40","3","2011-03-26","Associate Member","Joy Smith"
"38.81","BILI","40","3","2011-03-26","Associate Member","Robert Sopuck"
"38.82","BILI","40","3","2011-03-26","Associate Member","Kevin Sorenson"
"38.83","BILI","40","3","2011-03-26","Associate Member","Brian Storseth"
"38.84","BILI","40","3","2011-03-26","Associate Member","David Sweet"
"38.85","BILI","40","3","2011-03-26","Associate Member","Greg Thompson"
"38.86","BILI","40","3","2011-03-26","Associate Member","David Tilson"
"38.87","BILI","40","3","2011-03-26","Associate Member","Brad Trost"
"38.88","BILI","40","3","2011-03-26","Associate Member","Merv Tweed"
"38.89","BILI","40","3","2011-03-26","Associate Member","Tim Uppal"
"38.90","BILI","40","3","2011-03-26","Associate Member","Dave Van Kesteren"
"38.91","BILI","40","3","2011-03-26","Associate Member","Maurice Vellacott"
"38.92","BILI","40","3","2011-03-26","Associate Member","Mike Wallace"
"38.93","BILI","40","3","2011-03-26","Associate Member","Mark Warawa"
"38.94","BILI","40","3","2011-03-26","Associate Member","Chris Warkentin"
"38.95","BILI","40","3","2011-03-26","Associate Member","Jeff Watson"
"38.96","BILI","40","3","2011-03-26","Associate Member","John Weston"
"38.97","BILI","40","3","2011-03-26","Associate Member","Rodney Weston"
"38.98","BILI","40","3","2011-03-26","Associate Member","Stephen Woodworth"
"38.99","BILI","40","3","2011-03-26","Associate Member","Terence Young"
"38.100","BILI","40","3","2011-03-26","Associate Member","Robert Carrier"
"38.101","BILI","40","3","2011-03-26","Associate Member","Carole Lavallée"
"38.102","BILI","40","3","2011-03-26","Associate Member","Daniel Paillé"
"38.103","BILI","40","3","2011-03-26","Associate Member","Roger Pomerleau"
"38.104","BILI","40","3","2011-03-26","Associate Member","Gerry Byrne"
"38.105","BILI","40","3","2011-03-26","Associate Member","Ken Dryden"
"39.1","BILI","41","1","2011-06-13","Associate Member","Eve Adams"
"39.2","BILI","41","1","2011-06-13","Associate Member","Mark Adler"
"39.3","BILI","41","1","2011-06-13","Associate Member","Dan Albas"
"39.4","BILI","41","1","2011-06-13","Associate Member","Harold Albrecht"
"39.5","BILI","41","1","2011-06-13","Associate Member","Chris Alexander"
"39.6","BILI","41","1","2011-06-13","Associate Member","Mike Allen"
"39.7","BILI","41","1","2011-06-13","Associate Member","Dean Allison"
"39.8","BILI","41","1","2011-06-13","Associate Member","Stella Ambler"
"39.9","BILI","41","1","2011-06-13","Associate Member","Rob Anders"
"39.10","BILI","41","1","2011-06-13","Associate Member","David Anderson"
"39.11","BILI","41","1","2011-06-13","Associate Member","Scott Armstrong"
"39.12","BILI","41","1","2011-06-13","Associate Member","Jay Aspin"
"39.13","BILI","41","1","2011-06-13","Associate Member","Joyce Bateman"
"39.14","BILI","41","1","2011-06-13","Associate Member","Leon Benoit"
"39.15","BILI","41","1","2011-06-13","Associate Member","Candice Bergen"
"39.16","BILI","41","1","2011-06-13","Associate Member","James Bezan"
"39.17","BILI","41","1","2011-06-13","Associate Member","Kelly Block"
"39.18","BILI","41","1","2011-06-13","Associate Member","Ray Boughen"
"39.19","BILI","41","1","2011-06-13","Associate Member","Peter Braid"
"39.20","BILI","41","1","2011-06-13","Associate Member","Garry Breitkreuz"
"39.21","BILI","41","1","2011-06-13","Associate Member","Gordon Brown"
"39.22","BILI","41","1","2011-06-13","Associate Member","Lois Brown"
"39.23","BILI","41","1","2011-06-13","Associate Member","Patrick Brown"
"39.24","BILI","41","1","2011-06-13","Associate Member","Brad Butt"
"39.25","BILI","41","1","2011-06-13","Associate Member","Paul Calandra"
"39.26","BILI","41","1","2011-06-13","Associate Member","Blaine Calkins"
"39.27","BILI","41","1","2011-06-13","Associate Member","Ron Cannan"
"39.28","BILI","41","1","2011-06-13","Associate Member","John Carmichael"
"39.29","BILI","41","1","2011-06-13","Associate Member","Colin Carrie"
"39.30","BILI","41","1","2011-06-13","Associate Member","Michael Chong"
"39.31","BILI","41","1","2011-06-13","Associate Member","Rob Clarke"
"39.32","BILI","41","1","2011-06-13","Associate Member","Joe Daniel"
"39.33","BILI","41","1","2011-06-13","Associate Member","Patricia Davidson"
"39.34","BILI","41","1","2011-06-13","Associate Member","Bob Dechert"
"39.35","BILI","41","1","2011-06-13","Associate Member","Dean Del Mastro"
"39.36","BILI","41","1","2011-06-13","Associate Member","Earl Dreeshen"
"39.37","BILI","41","1","2011-06-13","Associate Member","Rick Dykstra"
"39.38","BILI","41","1","2011-06-13","Associate Member","Kerry-Lynne D. Findlay"
"39.39","BILI","41","1","2011-06-13","Associate Member","Cheryl Gallant"
"39.40","BILI","41","1","2011-06-13","Associate Member","Parm Gill"
"39.41","BILI","41","1","2011-06-13","Associate Member","Shelly Glover"
"39.42","BILI","41","1","2011-06-13","Associate Member","Robert Goguen"
"39.43","BILI","41","1","2011-06-13","Associate Member","Peter Goldring"
"39.44","BILI","41","1","2011-06-13","Associate Member","Jacques Gourde"
"39.45","BILI","41","1","2011-06-13","Associate Member","Nina Grewal"
"39.46","BILI","41","1","2011-06-13","Associate Member","Richard Harris"
"39.47","BILI","41","1","2011-06-13","Associate Member","Laurie Hawn"
"39.48","BILI","41","1","2011-06-13","Associate Member","Bryan Hayes"
"39.49","BILI","41","1","2011-06-13","Associate Member","Russ Hiebert"
"39.50","BILI","41","1","2011-06-13","Associate Member","Randy Hoback"
"39.51","BILI","41","1","2011-06-13","Associate Member","Ed Holder"
"39.52","BILI","41","1","2011-06-13","Associate Member","Roxanne James"
"39.53","BILI","41","1","2011-06-13","Associate Member","Brian Jean"
"39.54","BILI","41","1","2011-06-13","Associate Member","Randy Kamp"
"39.55","BILI","41","1","2011-06-13","Associate Member","Gerald Keddy"
"39.56","BILI","41","1","2011-06-13","Associate Member","Greg Kerr"
"39.57","BILI","41","1","2011-06-13","Associate Member","Ed Komarnicki"
"39.58","BILI","41","1","2011-06-13","Associate Member","Daryl Kramp"
"39.59","BILI","41","1","2011-06-13","Associate Member","Mike Lake"
"39.60","BILI","41","1","2011-06-13","Associate Member","Guy Lauzon"
"39.61","BILI","41","1","2011-06-13","Associate Member","Ryan Leef"
"39.62","BILI","41","1","2011-06-13","Associate Member","Kellie Leitch"
"39.63","BILI","41","1","2011-06-13","Associate Member","Pierre Lemieux"
"39.64","BILI","41","1","2011-06-13","Associate Member","Chungsen Leung"
"39.65","BILI","41","1","2011-06-13","Associate Member","Wladyslaw Lizon"
"39.66","BILI","41","1","2011-06-13","Associate Member","Ben Lobb"
"39.67","BILI","41","1","2011-06-13","Associate Member","Tom Lukiwski"
"39.68","BILI","41","1","2011-06-13","Associate Member","James Lunney"
"39.69","BILI","41","1","2011-06-13","Associate Member","Dave MacKenzie"
"39.70","BILI","41","1","2011-06-13","Associate Member","Colin Mayes"
"39.71","BILI","41","1","2011-06-13","Associate Member","Phil McColeman"
"39.72","BILI","41","1","2011-06-13","Associate Member","Cathy McLeod"
"39.73","BILI","41","1","2011-06-13","Associate Member","Costas Menegakis"
"39.74","BILI","41","1","2011-06-13","Associate Member","Rob Merrifield"
"39.75","BILI","41","1","2011-06-13","Associate Member","Larry Miller"
"39.76","BILI","41","1","2011-06-13","Associate Member","Rob Moore"
"39.77","BILI","41","1","2011-06-13","Associate Member","Rick Norlock"
"39.78","BILI","41","1","2011-06-13","Associate Member","Deepak Obhrai"
"39.79","BILI","41","1","2011-06-13","Associate Member","Tilly O'Neill Gordon"
"39.80","BILI","41","1","2011-06-13","Associate Member","Ted Opitz"
"39.81","BILI","41","1","2011-06-13","Associate Member","LaVar Payne"
"39.82","BILI","41","1","2011-06-13","Associate Member","Pierre Poilievre"
"39.83","BILI","41","1","2011-06-13","Associate Member","Joe Preston"
"39.84","BILI","41","1","2011-06-13","Associate Member","James Rajotte"
"39.85","BILI","41","1","2011-06-13","Associate Member","Brent Rathgeber"
"39.86","BILI","41","1","2011-06-13","Associate Member","Scott Reid"
"39.87","BILI","41","1","2011-06-13","Associate Member","Michelle Rempel"
"39.88","BILI","41","1","2011-06-13","Associate Member","Lee Richardson"
"39.89","BILI","41","1","2011-06-13","Associate Member","Greg Rickford"
"39.90","BILI","41","1","2011-06-13","Associate Member","Andrew Saxton"
"39.91","BILI","41","1","2011-06-13","Associate Member","Gary Schellenberger"
"39.92","BILI","41","1","2011-06-13","Associate Member","Kyle Seeback"
"39.93","BILI","41","1","2011-06-13","Associate Member","Bev Shipley"
"39.94","BILI","41","1","2011-06-13","Associate Member","Devinder Shory"
"39.95","BILI","41","1","2011-06-13","Associate Member","Joy Smith"
"39.96","BILI","41","1","2011-06-13","Associate Member","Robert Sopuck"
"39.97","BILI","41","1","2011-06-13","Associate Member","Kevin Sorenson"
"39.98","BILI","41","1","2011-06-13","Associate Member","Brian Storseth"
"39.99","BILI","41","1","2011-06-13","Associate Member","Mark Strahl"
"39.100","BILI","41","1","2011-06-13","Associate Member","David Sweet"
"39.101","BILI","41","1","2011-06-13","Associate Member","David Tilson"
"39.102","BILI","41","1","2011-06-13","Associate Member","Lawrence Toet"
"39.103","BILI","41","1","2011-06-13","Associate Member","Brad Trost"
"39.104","BILI","41","1","2011-06-13","Associate Member","Bernard Trottier"
"39.105","BILI","41","1","2011-06-13","Associate Member","Susan Truppe"
"39.106","BILI","41","1","2011-06-13","Associate Member","Merv Tweed"
"39.107","BILI","41","1","2011-06-13","Associate Member","Dave Van Kesteren"
"39.108","BILI","41","1","2011-06-13","Associate Member","Maurice Vellacott"
"39.109","BILI","41","1","2011-06-13","Associate Member","Mike Wallace"
"39.110","BILI","41","1","2011-06-13","Associate Member","Mark Warawa"
"39.111","BILI","41","1","2011-06-13","Associate Member","Chris Warkentin"
"39.112","BILI","41","1","2011-06-13","Associate Member","Jeff Watson"
"39.113","BILI","41","1","2011-06-13","Associate Member","John Weston"
"39.114","BILI","41","1","2011-06-13","Associate Member","Rodney Weston"
"39.115","BILI","41","1","2011-06-13","Associate Member","David Wilks"
"39.116","BILI","41","1","2011-06-13","Associate Member","John Williamson"
"39.117","BILI","41","1","2011-06-13","Associate Member","Stephen Woodworth"
"39.118","BILI","41","1","2011-06-13","Associate Member","Wai Young"
"39.119","BILI","41","1","2011-06-13","Associate Member","Mauril Bélanger"
"39.120","BILI","41","1","2011-06-13","Associate Member","Ted Hsu"
"40.1","BILI","41","1","2011-09-13","Associate Member","Eve Adams"
"40.2","BILI","41","1","2011-09-13","Associate Member","Mark Adler"
"40.3","BILI","41","1","2011-09-13","Associate Member","Dan Albas"
"40.4","BILI","41","1","2011-09-13","Associate Member","Harold Albrecht"
"40.5","BILI","41","1","2011-09-13","Associate Member","Chris Alexander"
"40.6","BILI","41","1","2011-09-13","Associate Member","Mike Allen"
"40.7","BILI","41","1","2011-09-13","Associate Member","Dean Allison"
"40.8","BILI","41","1","2011-09-13","Associate Member","Stella Ambler"
"40.9","BILI","41","1","2011-09-13","Associate Member","Rob Anders"
"40.10","BILI","41","1","2011-09-13","Associate Member","David Anderson"
"40.11","BILI","41","1","2011-09-13","Associate Member","Scott Armstrong"
"40.12","BILI","41","1","2011-09-13","Associate Member","Jay Aspin"
"40.13","BILI","41","1","2011-09-13","Associate Member","Joyce Bateman"
"40.14","BILI","41","1","2011-09-13","Associate Member","Leon Benoit"
"40.15","BILI","41","1","2011-09-13","Associate Member","Candice Bergen"
"40.16","BILI","41","1","2011-09-13","Associate Member","James Bezan"
"40.17","BILI","41","1","2011-09-13","Associate Member","Kelly Block"
"40.18","BILI","41","1","2011-09-13","Associate Member","Ray Boughen"
"40.19","BILI","41","1","2011-09-13","Associate Member","Peter Braid"
"40.20","BILI","41","1","2011-09-13","Associate Member","Garry Breitkreuz"
"40.21","BILI","41","1","2011-09-13","Associate Member","Gordon Brown"
"40.22","BILI","41","1","2011-09-13","Associate Member","Lois Brown"
"40.23","BILI","41","1","2011-09-13","Associate Member","Patrick Brown"
"40.24","BILI","41","1","2011-09-13","Associate Member","Brad Butt"
"40.25","BILI","41","1","2011-09-13","Associate Member","Paul Calandra"
"40.26","BILI","41","1","2011-09-13","Associate Member","Blaine Calkins"
"40.27","BILI","41","1","2011-09-13","Associate Member","Ron Cannan"
"40.28","BILI","41","1","2011-09-13","Associate Member","John Carmichael"
"40.29","BILI","41","1","2011-09-13","Associate Member","Colin Carrie"
"40.30","BILI","41","1","2011-09-13","Associate Member","Michael Chong"
"40.31","BILI","41","1","2011-09-13","Associate Member","Rob Clarke"
"40.32","BILI","41","1","2011-09-13","Associate Member","Joe Daniel"
"40.33","BILI","41","1","2011-09-13","Associate Member","Patricia Davidson"
"40.34","BILI","41","1","2011-09-13","Associate Member","Bob Dechert"
"40.35","BILI","41","1","2011-09-13","Associate Member","Dean Del Mastro"
"40.36","BILI","41","1","2011-09-13","Associate Member","Earl Dreeshen"
"40.37","BILI","41","1","2011-09-13","Associate Member","Rick Dykstra"
"40.38","BILI","41","1","2011-09-13","Associate Member","Kerry-Lynne D. Findlay"
"40.39","BILI","41","1","2011-09-13","Associate Member","Cheryl Gallant"
"40.40","BILI","41","1","2011-09-13","Associate Member","Parm Gill"
"40.41","BILI","41","1","2011-09-13","Associate Member","Shelly Glover"
"40.42","BILI","41","1","2011-09-13","Associate Member","Robert Goguen"
"40.43","BILI","41","1","2011-09-13","Associate Member","Peter Goldring"
