"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","committee_acronym","committee_type","super_committee_acronym","super_committee_name","super_committee_type"
"36","/chamber-1/committee-36","/chamber-1","/chamber-1/committee-36","36",1,"36","Subcommittee of INAN on Agenda and Procedure","SINA","Subcommittee","INAN","Indigenous and Northern Affairs","Standing Committees"
"37","/chamber-1/committee-37","/chamber-1","/chamber-1/committee-37","37",1,"37","Subcommittee of INDU on Agenda and Procedure","SIND","Subcommittee","INDU","Industry, Science and Technology","Standing Committees"
"38","/chamber-1/committee-38","/chamber-1","/chamber-1/committee-38","38",1,"38","Subcommittee of INDU on Canadian Industrial Sectors","SSIS","Subcommittee","INDU","Industry, Science and Technology","Standing Committees"
"39","/chamber-1/committee-39","/chamber-1","/chamber-1/committee-39","39",1,"39","Subcommittee of INDU on Oil and Gas and Other Energy Prices","SENG","Subcommittee","INDU","Industry, Science and Technology","Standing Committees"
"40","/chamber-1/committee-40","/chamber-1","/chamber-1/committee-40","40",1,"40","Subcommittee of INDU on the Automotive Industry in Canada","SAIA","Subcommittee","INDU","Industry, Science and Technology","Standing Committees"
"41","/chamber-1/committee-41","/chamber-1","/chamber-1/committee-41","41",1,"41","Subcommittee of IWFA on Agenda and Procedure","SIWF","Subcommittee","IWFA","Special Committee on Violence Against Indigenous Women","Special Committees"
"42","/chamber-1/committee-42","/chamber-1","/chamber-1/committee-42","42",1,"42","Subcommittee of JUST on Agenda and Procedure","SJUS","Subcommittee","JUST","Justice and Human Rights","Standing Committees"
"43","/chamber-1/committee-43","/chamber-1","/chamber-1/committee-43","43",1,"43","Subcommittee of JUST on Public Safety and National Security","SNSN","Subcommittee","JUST","Justice and Human Rights","Standing Committees"
"44","/chamber-1/committee-44","/chamber-1","/chamber-1/committee-44","44",1,"44","Subcommittee of JUST on Solicitation Laws","SSLR","Subcommittee","JUST","Justice and Human Rights","Standing Committees"
"45","/chamber-1/committee-45","/chamber-1","/chamber-1/committee-45","45",1,"45","Subcommittee of JUST on the process for appointment to the Federal Judiciary","SMFJ","Subcommittee","JUST","Justice and Human Rights","Standing Committees"
"46","/chamber-1/committee-46","/chamber-1","/chamber-1/committee-46","46",1,"46","Subcommittee of JUST on the Review of the Report on the Organized Crime in Canada","SRRO","Subcommittee","JUST","Justice and Human Rights","Standing Committees"
"47","/chamber-1/committee-47","/chamber-1","/chamber-1/committee-47","47",1,"47","Subcommittee of LANG on Agenda and Procedure","SLAN","Subcommittee","LANG","Official Languages","Standing Committees"
"48","/chamber-1/committee-48","/chamber-1","/chamber-1/committee-48","48",1,"48","Subcommittee of LIAI on Committee Budgets","SBLI","Subcommittee","LIAI","Liaison","Other Committees"
"49","/chamber-1/committee-49","/chamber-1","/chamber-1/committee-49","49",1,"49","Subcommittee of LIAI on Communications Activities in Relation to Committees","SLCO","Subcommittee","LIAI","Liaison","Other Committees"
"50","/chamber-1/committee-50","/chamber-1","/chamber-1/committee-50","50",1,"50","Subcommittee of LIBI on Committee Budgets","SLIB","Subcommittee","LIBI","Library of Parliament","Joint Committees"
"51","/chamber-1/committee-51","/chamber-1","/chamber-1/committee-51","51",1,"51","Subcommittee of NDDN on Agenda and Procedure","SNDD","Subcommittee","NDDN","National Defence","Standing Committees"
"52","/chamber-1/committee-52","/chamber-1","/chamber-1/committee-52","52",1,"52","Subcommittee of NDDN on Veterans Affairs","SVAC","Subcommittee","NDDN","National Defence","Standing Committees"
"53","/chamber-1/committee-53","/chamber-1","/chamber-1/committee-53","53",1,"53","Subcommittee of OGGO on Agenda and Procedure","SOGG","Subcommittee","OGGO","Government Operations and Estimates","Standing Committees"
"54","/chamber-1/committee-54","/chamber-1","/chamber-1/committee-54","54",1,"54","Subcommittee of PACP on Agenda and Procedure","SPAC","Subcommittee","PACP","Public Accounts","Standing Committees"
"55","/chamber-1/committee-55","/chamber-1","/chamber-1/committee-55","55",1,"55","Subcommittee of PROC on Agenda and Procedure","SPRO","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"56","/chamber-1/committee-56","/chamber-1","/chamber-1/committee-56","56",1,"56","Subcommittee of PROC on Gifts under the Conflict of Interest Code","SCOD","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"57","/chamber-1/committee-57","/chamber-1","/chamber-1/committee-57","57",1,"57","Subcommittee of PROC on Gifts under the Conflict of Interest Code for Members of the House of Commons","SCOD","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"58","/chamber-1/committee-58","/chamber-1","/chamber-1/committee-58","58",1,"58","Subcommittee of PROC on Parliament Hill Security","SPAR","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"59","/chamber-1/committee-59","/chamber-1","/chamber-1/committee-59","59",1,"59","Subcommittee of PROC on Parliamentary Privilege","SPRV","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"60","/chamber-1/committee-60","/chamber-1","/chamber-1/committee-60","60",1,"60","Subcommittee of PROC on Private Members' Business","SMEM","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"61","/chamber-1/committee-61","/chamber-1","/chamber-1/committee-61","61",1,"61","Subcommittee of PROC on the Code of Conduct","SCCC","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"62","/chamber-1/committee-62","/chamber-1","/chamber-1/committee-62","62",1,"62","Subcommittee of PROC on the Code of Conduct for Members of the House of Commons: Sexual Harassment","SCCC","Subcommittee","PROC","Procedure and House Affairs","Standing Committees"
"63","/chamber-1/committee-63","/chamber-1","/chamber-1/committee-63","63",1,"63","Subcommittee of REGS on Agenda and Procedure","SREG","Subcommittee","REGS","Scrutiny of Regulations","Joint Committees"
"64","/chamber-1/committee-64","/chamber-1","/chamber-1/committee-64","64",1,"64","Subcommittee of RNNR on Agenda and Procedure","SRNN","Subcommittee","RNNR","Natural Resources","Standing Committees"
"65","/chamber-1/committee-65","/chamber-1","/chamber-1/committee-65","65",1,"65","Subcommittee of SECU on Agenda and Procedure","SSEC","Subcommittee","SECU","Public Safety and National Security","Standing Committees"
"66","/chamber-1/committee-66","/chamber-1","/chamber-1/committee-66","66",1,"66","Subcommittee of SECU on the Review of the Anti-terrorism Act","STER","Subcommittee","SECU","Public Safety and National Security","Standing Committees"
"67","/chamber-1/committee-67","/chamber-1","/chamber-1/committee-67","67",1,"67","Subcommittee of TRAN on Agenda and Procedure","STRA","Subcommittee","TRAN","Transport, Infrastructure and Communities","Standing Committees"
