"","constituency_name","observation_path","chamber_path","constituency_path","observation_number","chamber_number","constituency_number","chamber_name","province_name"
"49","Brantford—Brant","/chamber-1/observation-49","/chamber-1","/chamber-1/constituency-49",49,1,49,"House of Commons","Ontario"
"50","British Columbia Southern Interior","/chamber-1/observation-50","/chamber-1","/chamber-1/constituency-50",50,1,50,"House of Commons","British Columbia"
"51","Brome—Missisquoi","/chamber-1/observation-51","/chamber-1","/chamber-1/constituency-51",51,1,51,"House of Commons","Quebec"
"52","Brossard—La Prairie","/chamber-1/observation-52","/chamber-1","/chamber-1/constituency-52",52,1,52,"House of Commons","Quebec"
"53","Brossard—Saint-Lambert","/chamber-1/observation-53","/chamber-1","/chamber-1/constituency-53",53,1,53,"House of Commons","Quebec"
"54","Bruce—Grey—Owen Sound","/chamber-1/observation-54","/chamber-1","/chamber-1/constituency-54",54,1,54,"House of Commons","Ontario"
"55","Burlington","/chamber-1/observation-55","/chamber-1","/chamber-1/constituency-55",55,1,55,"House of Commons","Ontario"
"56","Burnaby North—Seymour","/chamber-1/observation-56","/chamber-1","/chamber-1/constituency-56",56,1,56,"House of Commons","British Columbia"
"57","Burnaby South","/chamber-1/observation-57","/chamber-1","/chamber-1/constituency-57",57,1,57,"House of Commons","British Columbia"
"58","Burnaby—Douglas","/chamber-1/observation-58","/chamber-1","/chamber-1/constituency-58",58,1,58,"House of Commons","British Columbia"
"59","Burnaby—New Westminster","/chamber-1/observation-59","/chamber-1","/chamber-1/constituency-59",59,1,59,"House of Commons","British Columbia"
"60","Calgary Centre","/chamber-1/observation-60","/chamber-1","/chamber-1/constituency-60",60,1,60,"House of Commons","Alberta"
"61","Calgary Centre-North","/chamber-1/observation-61","/chamber-1","/chamber-1/constituency-61",61,1,61,"House of Commons","Alberta"
"62","Calgary Confederation","/chamber-1/observation-62","/chamber-1","/chamber-1/constituency-62",62,1,62,"House of Commons","Alberta"
"63","Calgary East","/chamber-1/observation-63","/chamber-1","/chamber-1/constituency-63",63,1,63,"House of Commons","Alberta"
"64","Calgary Forest Lawn","/chamber-1/observation-64","/chamber-1","/chamber-1/constituency-64",64,1,64,"House of Commons","Alberta"
"65","Calgary Heritage","/chamber-1/observation-65","/chamber-1","/chamber-1/constituency-65",65,1,65,"House of Commons","Alberta"
"66","Calgary Midnapore","/chamber-1/observation-66","/chamber-1","/chamber-1/constituency-66",66,1,66,"House of Commons","Alberta"
"67","Calgary Northeast","/chamber-1/observation-67","/chamber-1","/chamber-1/constituency-67",67,1,67,"House of Commons","Alberta"
"68","Calgary Nose Hill","/chamber-1/observation-68","/chamber-1","/chamber-1/constituency-68",68,1,68,"House of Commons","Alberta"
"69","Calgary Rocky Ridge","/chamber-1/observation-69","/chamber-1","/chamber-1/constituency-69",69,1,69,"House of Commons","Alberta"
"70","Calgary Shepard","/chamber-1/observation-70","/chamber-1","/chamber-1/constituency-70",70,1,70,"House of Commons","Alberta"
"71","Calgary Signal Hill","/chamber-1/observation-71","/chamber-1","/chamber-1/constituency-71",71,1,71,"House of Commons","Alberta"
"72","Calgary Skyview","/chamber-1/observation-72","/chamber-1","/chamber-1/constituency-72",72,1,72,"House of Commons","Alberta"
"73","Calgary Southeast","/chamber-1/observation-73","/chamber-1","/chamber-1/constituency-73",73,1,73,"House of Commons","Alberta"
"74","Calgary Southwest","/chamber-1/observation-74","/chamber-1","/chamber-1/constituency-74",74,1,74,"House of Commons","Alberta"
"75","Calgary West","/chamber-1/observation-75","/chamber-1","/chamber-1/constituency-75",75,1,75,"House of Commons","Alberta"
"76","Calgary—Nose Hill","/chamber-1/observation-76","/chamber-1","/chamber-1/constituency-76",76,1,76,"House of Commons","Alberta"
"77","Cambridge","/chamber-1/observation-77","/chamber-1","/chamber-1/constituency-77",77,1,77,"House of Commons","Ontario"
"78","Cape Breton—Canso","/chamber-1/observation-78","/chamber-1","/chamber-1/constituency-78",78,1,78,"House of Commons","Nova Scotia"
"79","Cardigan","/chamber-1/observation-79","/chamber-1","/chamber-1/constituency-79",79,1,79,"House of Commons","Prince Edward Island"
"80","Cariboo—Prince George","/chamber-1/observation-80","/chamber-1","/chamber-1/constituency-80",80,1,80,"House of Commons","British Columbia"
"81","Carleton","/chamber-1/observation-81","/chamber-1","/chamber-1/constituency-81",81,1,81,"House of Commons","Ontario"
"82","Carleton—Mississippi Mills","/chamber-1/observation-82","/chamber-1","/chamber-1/constituency-82",82,1,82,"House of Commons","Ontario"
"83","Carlton Trail—Eagle Creek","/chamber-1/observation-83","/chamber-1","/chamber-1/constituency-83",83,1,83,"House of Commons","Saskatchewan"
"84","Central Nova","/chamber-1/observation-84","/chamber-1","/chamber-1/constituency-84",84,1,84,"House of Commons","Nova Scotia"
"85","Central Okanagan—Similkameen—Nicola","/chamber-1/observation-85","/chamber-1","/chamber-1/constituency-85",85,1,85,"House of Commons","British Columbia"
"86","Chambly—Borduas","/chamber-1/observation-86","/chamber-1","/chamber-1/constituency-86",86,1,86,"House of Commons","Quebec"
"87","Charlesbourg—Haute-Saint-Charles","/chamber-1/observation-87","/chamber-1","/chamber-1/constituency-87",87,1,87,"House of Commons","Quebec"
"88","Charleswood—St. James—Assiniboia","/chamber-1/observation-88","/chamber-1","/chamber-1/constituency-88",88,1,88,"House of Commons","Manitoba"
"89","Charleswood—St. James—Assiniboia—Headingley","/chamber-1/observation-89","/chamber-1","/chamber-1/constituency-89",89,1,89,"House of Commons","Manitoba"
"90","Charlottetown","/chamber-1/observation-90","/chamber-1","/chamber-1/constituency-90",90,1,90,"House of Commons","Prince Edward Island"
"91","Châteauguay—Lacolle","/chamber-1/observation-91","/chamber-1","/chamber-1/constituency-91",91,1,91,"House of Commons","Quebec"
"92","Châteauguay—Saint-Constant","/chamber-1/observation-92","/chamber-1","/chamber-1/constituency-92",92,1,92,"House of Commons","Quebec"
"93","Chatham-Kent—Essex","/chamber-1/observation-93","/chamber-1","/chamber-1/constituency-93",93,1,93,"House of Commons","Ontario"
"94","Chatham-Kent—Leamington","/chamber-1/observation-94","/chamber-1","/chamber-1/constituency-94",94,1,94,"House of Commons","Ontario"
"95","Chicoutimi—Le Fjord","/chamber-1/observation-95","/chamber-1","/chamber-1/constituency-95",95,1,95,"House of Commons","Quebec"
"96","Chilliwack—Fraser Canyon","/chamber-1/observation-96","/chamber-1","/chamber-1/constituency-96",96,1,96,"House of Commons","British Columbia"
"97","Chilliwack—Hope","/chamber-1/observation-97","/chamber-1","/chamber-1/constituency-97",97,1,97,"House of Commons","British Columbia"
"98","Churchill","/chamber-1/observation-98","/chamber-1","/chamber-1/constituency-98",98,1,98,"House of Commons","Manitoba"
"99","Churchill—Keewatinook Aski","/chamber-1/observation-99","/chamber-1","/chamber-1/constituency-99",99,1,99,"House of Commons","Manitoba"
"100","Cloverdale—Langley City","/chamber-1/observation-100","/chamber-1","/chamber-1/constituency-100",100,1,100,"House of Commons","British Columbia"
"101","Coast of Bays—Central—Notre Dame","/chamber-1/observation-101","/chamber-1","/chamber-1/constituency-101",101,1,101,"House of Commons","Newfoundland and Labrador"
"102","Compton—Stanstead","/chamber-1/observation-102","/chamber-1","/chamber-1/constituency-102",102,1,102,"House of Commons","Quebec"
"103","Coquitlam—Port Coquitlam","/chamber-1/observation-103","/chamber-1","/chamber-1/constituency-103",103,1,103,"House of Commons","British Columbia"
"104","Courtenay—Alberni","/chamber-1/observation-104","/chamber-1","/chamber-1/constituency-104",104,1,104,"House of Commons","British Columbia"
"105","Cowichan—Malahat—Langford","/chamber-1/observation-105","/chamber-1","/chamber-1/constituency-105",105,1,105,"House of Commons","British Columbia"
"106","Crowfoot","/chamber-1/observation-106","/chamber-1","/chamber-1/constituency-106",106,1,106,"House of Commons","Alberta"
"107","Cumberland—Colchester","/chamber-1/observation-107","/chamber-1","/chamber-1/constituency-107",107,1,107,"House of Commons","Nova Scotia"
"108","Cumberland—Colchester—Musquodoboit Valley","/chamber-1/observation-108","/chamber-1","/chamber-1/constituency-108",108,1,108,"House of Commons","Nova Scotia"
"109","Cypress Hills—Grasslands","/chamber-1/observation-109","/chamber-1","/chamber-1/constituency-109",109,1,109,"House of Commons","Saskatchewan"
"110","Dartmouth—Cole Harbour","/chamber-1/observation-110","/chamber-1","/chamber-1/constituency-110",110,1,110,"House of Commons","Nova Scotia"
"111","Dauphin—Swan River—Marquette","/chamber-1/observation-111","/chamber-1","/chamber-1/constituency-111",111,1,111,"House of Commons","Manitoba"
"112","Dauphin—Swan River—Neepawa","/chamber-1/observation-112","/chamber-1","/chamber-1/constituency-112",112,1,112,"House of Commons","Manitoba"
"113","Davenport","/chamber-1/observation-113","/chamber-1","/chamber-1/constituency-113",113,1,113,"House of Commons","Ontario"
"114","Delta","/chamber-1/observation-114","/chamber-1","/chamber-1/constituency-114",114,1,114,"House of Commons","British Columbia"
"115","Delta—Richmond East","/chamber-1/observation-115","/chamber-1","/chamber-1/constituency-115",115,1,115,"House of Commons","British Columbia"
"116","Desnethé—Missinippi—Churchill River","/chamber-1/observation-116","/chamber-1","/chamber-1/constituency-116",116,1,116,"House of Commons","Saskatchewan"
"117","Don Valley East","/chamber-1/observation-117","/chamber-1","/chamber-1/constituency-117",117,1,117,"House of Commons","Ontario"
"118","Don Valley North","/chamber-1/observation-118","/chamber-1","/chamber-1/constituency-118",118,1,118,"House of Commons","Ontario"
"119","Don Valley West","/chamber-1/observation-119","/chamber-1","/chamber-1/constituency-119",119,1,119,"House of Commons","Ontario"
"120","Dorval—Lachine—LaSalle","/chamber-1/observation-120","/chamber-1","/chamber-1/constituency-120",120,1,120,"House of Commons","Quebec"
"121","Drummond","/chamber-1/observation-121","/chamber-1","/chamber-1/constituency-121",121,1,121,"House of Commons","Quebec"
"122","Dufferin—Caledon","/chamber-1/observation-122","/chamber-1","/chamber-1/constituency-122",122,1,122,"House of Commons","Ontario"
"123","Durham","/chamber-1/observation-123","/chamber-1","/chamber-1/constituency-123",123,1,123,"House of Commons","Ontario"
"124","Edmonton Centre","/chamber-1/observation-124","/chamber-1","/chamber-1/constituency-124",124,1,124,"House of Commons","Alberta"
"125","Edmonton East","/chamber-1/observation-125","/chamber-1","/chamber-1/constituency-125",125,1,125,"House of Commons","Alberta"
"126","Edmonton Griesbach","/chamber-1/observation-126","/chamber-1","/chamber-1/constituency-126",126,1,126,"House of Commons","Alberta"
"127","Edmonton Manning","/chamber-1/observation-127","/chamber-1","/chamber-1/constituency-127",127,1,127,"House of Commons","Alberta"
"128","Edmonton Mill Woods","/chamber-1/observation-128","/chamber-1","/chamber-1/constituency-128",128,1,128,"House of Commons","Alberta"
"129","Edmonton Riverbend","/chamber-1/observation-129","/chamber-1","/chamber-1/constituency-129",129,1,129,"House of Commons","Alberta"
"130","Edmonton Strathcona","/chamber-1/observation-130","/chamber-1","/chamber-1/constituency-130",130,1,130,"House of Commons","Alberta"
"131","Edmonton West","/chamber-1/observation-131","/chamber-1","/chamber-1/constituency-131",131,1,131,"House of Commons","Alberta"
"132","Edmonton—Leduc","/chamber-1/observation-132","/chamber-1","/chamber-1/constituency-132",132,1,132,"House of Commons","Alberta"
"133","Edmonton—Mill Woods—Beaumont","/chamber-1/observation-133","/chamber-1","/chamber-1/constituency-133",133,1,133,"House of Commons","Alberta"
"134","Edmonton—Sherwood Park","/chamber-1/observation-134","/chamber-1","/chamber-1/constituency-134",134,1,134,"House of Commons","Alberta"
"135","Edmonton—Spruce Grove","/chamber-1/observation-135","/chamber-1","/chamber-1/constituency-135",135,1,135,"House of Commons","Alberta"
"136","Edmonton—St. Albert","/chamber-1/observation-136","/chamber-1","/chamber-1/constituency-136",136,1,136,"House of Commons","Alberta"
"137","Edmonton—Strathcona","/chamber-1/observation-137","/chamber-1","/chamber-1/constituency-137",137,1,137,"House of Commons","Alberta"
"138","Edmonton—Wetaskiwin","/chamber-1/observation-138","/chamber-1","/chamber-1/constituency-138",138,1,138,"House of Commons","Alberta"
"139","Eglinton—Lawrence","/chamber-1/observation-139","/chamber-1","/chamber-1/constituency-139",139,1,139,"House of Commons","Ontario"
"140","Egmont","/chamber-1/observation-140","/chamber-1","/chamber-1/constituency-140",140,1,140,"House of Commons","Prince Edward Island"
"141","Elgin—Middlesex—London","/chamber-1/observation-141","/chamber-1","/chamber-1/constituency-141",141,1,141,"House of Commons","Ontario"
"142","Elmwood—Transcona","/chamber-1/observation-142","/chamber-1","/chamber-1/constituency-142",142,1,142,"House of Commons","Manitoba"
"143","Esquimalt—Juan de Fuca","/chamber-1/observation-143","/chamber-1","/chamber-1/constituency-143",143,1,143,"House of Commons","British Columbia"
"144","Esquimalt—Saanich—Sooke","/chamber-1/observation-144","/chamber-1","/chamber-1/constituency-144",144,1,144,"House of Commons","British Columbia"
"145","Essex","/chamber-1/observation-145","/chamber-1","/chamber-1/constituency-145",145,1,145,"House of Commons","Ontario"
"146","Etobicoke Centre","/chamber-1/observation-146","/chamber-1","/chamber-1/constituency-146",146,1,146,"House of Commons","Ontario"
"147","Etobicoke North","/chamber-1/observation-147","/chamber-1","/chamber-1/constituency-147",147,1,147,"House of Commons","Ontario"
"148","Etobicoke—Lakeshore","/chamber-1/observation-148","/chamber-1","/chamber-1/constituency-148",148,1,148,"House of Commons","Ontario"
"149","Flamborough—Glanbrook","/chamber-1/observation-149","/chamber-1","/chamber-1/constituency-149",149,1,149,"House of Commons","Ontario"
"150","Fleetwood—Port Kells","/chamber-1/observation-150","/chamber-1","/chamber-1/constituency-150",150,1,150,"House of Commons","British Columbia"
"151","Foothills","/chamber-1/observation-151","/chamber-1","/chamber-1/constituency-151",151,1,151,"House of Commons","Alberta"
"152","Fort McMurray—Athabasca","/chamber-1/observation-152","/chamber-1","/chamber-1/constituency-152",152,1,152,"House of Commons","Alberta"
"153","Fort McMurray—Cold Lake","/chamber-1/observation-153","/chamber-1","/chamber-1/constituency-153",153,1,153,"House of Commons","Alberta"
"154","Fredericton","/chamber-1/observation-154","/chamber-1","/chamber-1/constituency-154",154,1,154,"House of Commons","New Brunswick"
"155","Fundy Royal","/chamber-1/observation-155","/chamber-1","/chamber-1/constituency-155",155,1,155,"House of Commons","New Brunswick"
"156","Gaspésie—Îles-de-la-Madeleine","/chamber-1/observation-156","/chamber-1","/chamber-1/constituency-156",156,1,156,"House of Commons","Quebec"
"157","Gaspésie—Les Îles-de-la-Madeleine","/chamber-1/observation-157","/chamber-1","/chamber-1/constituency-157",157,1,157,"House of Commons","Quebec"
"158","Gatineau","/chamber-1/observation-158","/chamber-1","/chamber-1/constituency-158",158,1,158,"House of Commons","Quebec"
"159","Glengarry—Prescott—Russell","/chamber-1/observation-159","/chamber-1","/chamber-1/constituency-159",159,1,159,"House of Commons","Ontario"
"160","Grande Prairie—Mackenzie","/chamber-1/observation-160","/chamber-1","/chamber-1/constituency-160",160,1,160,"House of Commons","Alberta"
"161","Guelph","/chamber-1/observation-161","/chamber-1","/chamber-1/constituency-161",161,1,161,"House of Commons","Ontario"
"162","Haldimand—Norfolk","/chamber-1/observation-162","/chamber-1","/chamber-1/constituency-162",162,1,162,"House of Commons","Ontario"
"163","Haliburton—Kawartha Lakes—Brock","/chamber-1/observation-163","/chamber-1","/chamber-1/constituency-163",163,1,163,"House of Commons","Ontario"
"164","Halifax","/chamber-1/observation-164","/chamber-1","/chamber-1/constituency-164",164,1,164,"House of Commons","Nova Scotia"
"165","Halifax West","/chamber-1/observation-165","/chamber-1","/chamber-1/constituency-165",165,1,165,"House of Commons","Nova Scotia"
"166","Halton","/chamber-1/observation-166","/chamber-1","/chamber-1/constituency-166",166,1,166,"House of Commons","Ontario"
"167","Hamilton Centre","/chamber-1/observation-167","/chamber-1","/chamber-1/constituency-167",167,1,167,"House of Commons","Ontario"
"168","Hamilton East—Stoney Creek","/chamber-1/observation-168","/chamber-1","/chamber-1/constituency-168",168,1,168,"House of Commons","Ontario"
"169","Hamilton Mountain","/chamber-1/observation-169","/chamber-1","/chamber-1/constituency-169",169,1,169,"House of Commons","Ontario"
"170","Hamilton West—Ancaster—Dundas","/chamber-1/observation-170","/chamber-1","/chamber-1/constituency-170",170,1,170,"House of Commons","Ontario"
"171","Hastings—Lennox and Addington","/chamber-1/observation-171","/chamber-1","/chamber-1/constituency-171",171,1,171,"House of Commons","Ontario"
"172","Haute-Gaspésie—La Mitis—Matane—Matapédia","/chamber-1/observation-172","/chamber-1","/chamber-1/constituency-172",172,1,172,"House of Commons","Quebec"
"173","Hochelaga","/chamber-1/observation-173","/chamber-1","/chamber-1/constituency-173",173,1,173,"House of Commons","Quebec"
"174","Honoré-Mercier","/chamber-1/observation-174","/chamber-1","/chamber-1/constituency-174",174,1,174,"House of Commons","Quebec"
"175","Hull—Aylmer","/chamber-1/observation-175","/chamber-1","/chamber-1/constituency-175",175,1,175,"House of Commons","Quebec"
"176","Humber River—Black Creek","/chamber-1/observation-176","/chamber-1","/chamber-1/constituency-176",176,1,176,"House of Commons","Ontario"
"177","Humber—St. Barbe—Baie Verte","/chamber-1/observation-177","/chamber-1","/chamber-1/constituency-177",177,1,177,"House of Commons","Newfoundland and Labrador"
"178","Huron—Bruce","/chamber-1/observation-178","/chamber-1","/chamber-1/constituency-178",178,1,178,"House of Commons","Ontario"
"179","Jeanne-Le Ber","/chamber-1/observation-179","/chamber-1","/chamber-1/constituency-179",179,1,179,"House of Commons","Quebec"
"180","Joliette","/chamber-1/observation-180","/chamber-1","/chamber-1/constituency-180",180,1,180,"House of Commons","Quebec"
"181","Jonquière","/chamber-1/observation-181","/chamber-1","/chamber-1/constituency-181",181,1,181,"House of Commons","Quebec"
"182","Jonquière—Alma","/chamber-1/observation-182","/chamber-1","/chamber-1/constituency-182",182,1,182,"House of Commons","Quebec"
"183","Kamloops—Thompson—Cariboo","/chamber-1/observation-183","/chamber-1","/chamber-1/constituency-183",183,1,183,"House of Commons","British Columbia"
"184","Kanata—Carleton","/chamber-1/observation-184","/chamber-1","/chamber-1/constituency-184",184,1,184,"House of Commons","Ontario"
"185","Kelowna—Lake Country","/chamber-1/observation-185","/chamber-1","/chamber-1/constituency-185",185,1,185,"House of Commons","British Columbia"
"186","Kenora","/chamber-1/observation-186","/chamber-1","/chamber-1/constituency-186",186,1,186,"House of Commons","Ontario"
"187","Kildonan—St. Paul","/chamber-1/observation-187","/chamber-1","/chamber-1/constituency-187",187,1,187,"House of Commons","Manitoba"
"188","King—Vaughan","/chamber-1/observation-188","/chamber-1","/chamber-1/constituency-188",188,1,188,"House of Commons","Ontario"
"189","Kings—Hants","/chamber-1/observation-189","/chamber-1","/chamber-1/constituency-189",189,1,189,"House of Commons","Nova Scotia"
"190","Kingston and the Islands","/chamber-1/observation-190","/chamber-1","/chamber-1/constituency-190",190,1,190,"House of Commons","Ontario"
"191","Kitchener Centre","/chamber-1/observation-191","/chamber-1","/chamber-1/constituency-191",191,1,191,"House of Commons","Ontario"
"192","Kitchener South—Hespeler","/chamber-1/observation-192","/chamber-1","/chamber-1/constituency-192",192,1,192,"House of Commons","Ontario"
"193","Kitchener—Conestoga","/chamber-1/observation-193","/chamber-1","/chamber-1/constituency-193",193,1,193,"House of Commons","Ontario"
"194","Kitchener—Waterloo","/chamber-1/observation-194","/chamber-1","/chamber-1/constituency-194",194,1,194,"House of Commons","Ontario"
"195","Kootenay—Columbia","/chamber-1/observation-195","/chamber-1","/chamber-1/constituency-195",195,1,195,"House of Commons","British Columbia"
"196","La Pointe-de-l'Île","/chamber-1/observation-196","/chamber-1","/chamber-1/constituency-196",196,1,196,"House of Commons","Quebec"
"197","La Prairie","/chamber-1/observation-197","/chamber-1","/chamber-1/constituency-197",197,1,197,"House of Commons","Quebec"
"198","Labrador","/chamber-1/observation-198","/chamber-1","/chamber-1/constituency-198",198,1,198,"House of Commons","Newfoundland and Labrador"
"199","Lac-Saint-Jean","/chamber-1/observation-199","/chamber-1","/chamber-1/constituency-199",199,1,199,"House of Commons","Quebec"
"200","Lac-Saint-Louis","/chamber-1/observation-200","/chamber-1","/chamber-1/constituency-200",200,1,200,"House of Commons","Quebec"
"201","Lakeland","/chamber-1/observation-201","/chamber-1","/chamber-1/constituency-201",201,1,201,"House of Commons","Alberta"
"202","Lambton—Kent—Middlesex","/chamber-1/observation-202","/chamber-1","/chamber-1/constituency-202",202,1,202,"House of Commons","Ontario"
"203","Lanark—Frontenac—Kingston","/chamber-1/observation-203","/chamber-1","/chamber-1/constituency-203",203,1,203,"House of Commons","Ontario"
"204","Lanark—Frontenac—Lennox and Addington","/chamber-1/observation-204","/chamber-1","/chamber-1/constituency-204",204,1,204,"House of Commons","Ontario"
"205","Langley","/chamber-1/observation-205","/chamber-1","/chamber-1/constituency-205",205,1,205,"House of Commons","British Columbia"
"206","Langley—Aldergrove","/chamber-1/observation-206","/chamber-1","/chamber-1/constituency-206",206,1,206,"House of Commons","British Columbia"
"207","LaSalle—Émard","/chamber-1/observation-207","/chamber-1","/chamber-1/constituency-207",207,1,207,"House of Commons","Quebec"
"208","LaSalle—Émard—Verdun","/chamber-1/observation-208","/chamber-1","/chamber-1/constituency-208",208,1,208,"House of Commons","Quebec"
"209","Laurentides—Labelle","/chamber-1/observation-209","/chamber-1","/chamber-1/constituency-209",209,1,209,"House of Commons","Quebec"
