observation_path,parliament_path,chamber_path,member_path,observation_number,parliament_number,chamber_number,member_number,chamber_name,full_name,first_name,last_name,member_ID,constituency_name,constituency_ID,party_name,start_date,end_date
/parliament-38/chamber-1/member-11,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-11,11,38,1,11,House of Commons,Charlie Angus,Charlie,Angus,/chamber-1/member-22,Timmins—James Bay,/chamber-1/constituency-268,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-12,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-12,12,38,1,12,House of Commons,Gérard Asselin,Gérard,Asselin,/chamber-1/member-28,Manicouagan,/chamber-1/constituency-149,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-13,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-13,13,38,1,13,House of Commons,Jean Augustine,Jean,Augustine,/chamber-1/member-31,Etobicoke—Lakeshore,/chamber-1/constituency-89,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-14,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-14,14,38,1,14,House of Commons,Claude Bachand,Claude,Bachand,/chamber-1/member-33,Saint-Jean,/chamber-1/constituency-232,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-15,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-15,15,38,1,15,House of Commons,Larry Bagnell,Larry,Bagnell,/chamber-1/member-34,Yukon,/chamber-1/constituency-308,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-16,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-16,16,38,1,16,House of Commons,Navdeep Bains,Navdeep,Bains,/chamber-1/member-35,Mississauga—Brampton South,/chamber-1/constituency-157,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-17,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-17,17,38,1,17,House of Commons,Eleni Bakopanos,Eleni,Bakopanos,/chamber-1/member-37,Ahuntsic,/chamber-1/constituency-5,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-18,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-18,18,38,1,18,House of Commons,Sue Barnes,Sue,Barnes,/chamber-1/member-40,London West,/chamber-1/constituency-140,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-19,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-19,19,38,1,19,House of Commons,Dave Batters,Dave,Batters,/chamber-1/member-42,Palliser,/chamber-1/constituency-193,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-20,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-20,20,38,1,20,House of Commons,Colleen Beaumier,Colleen,Beaumier,/chamber-1/member-44,Brampton West,/chamber-1/constituency-25,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-21,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-21,21,38,1,21,House of Commons,Mauril Bélanger,Mauril,Bélanger,/chamber-1/member-45,Ottawa—Vanier,/chamber-1/constituency-190,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-22,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-22,22,38,1,22,House of Commons,Don Bell,Don,Bell,/chamber-1/member-47,North Vancouver,/chamber-1/constituency-176,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-23,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-23,23,38,1,23,House of Commons,André Bellavance,André,Bellavance,/chamber-1/member-48,Richmond—Arthabaska,/chamber-1/constituency-220,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-24,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-24,24,38,1,24,House of Commons,Carolyn Bennett,Carolyn,Bennett,/chamber-1/member-49,St. Paul's,/chamber-1/constituency-259,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-25,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-25,25,38,1,25,House of Commons,Leon Benoit,Leon,Benoit,/chamber-1/member-50,Vegreville—Wainwright,/chamber-1/constituency-282,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-26,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-26,26,38,1,26,House of Commons,Stéphane Bergeron,Stéphane,Bergeron,/chamber-1/member-53,Verchères—Les Patriotes,/chamber-1/constituency-283,Bloc Québécois,6/28/04,11/11/05
/parliament-38/chamber-1/member-27,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-27,27,38,1,27,House of Commons,Maurizio Bevilacqua,Maurizio,Bevilacqua,/chamber-1/member-55,Vaughan,/chamber-1/constituency-281,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-28,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-28,28,38,1,28,House of Commons,James Bezan,James,Bezan,/chamber-1/member-57,Selkirk—Interlake,/chamber-1/constituency-247,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-29,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-29,29,38,1,29,House of Commons,Bernard Bigras,Bernard,Bigras,/chamber-1/member-58,Rosemont—La Petite-Patrie,/chamber-1/constituency-225,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-30,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-30,30,38,1,30,House of Commons,Bill Blaikie,Bill,Blaikie,/chamber-1/member-61,Elmwood—Transcona,/chamber-1/constituency-84,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-31,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-31,31,38,1,31,House of Commons,Raynald Blais,Raynald,Blais,/chamber-1/member-62,Gaspésie—Îles-de-la-Madeleine,/chamber-1/constituency-94,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-32,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-32,32,38,1,32,House of Commons,Ethel Blondin-Andrew,Ethel,Blondin-Andrew,/chamber-1/member-67,Northwest Territories,/chamber-1/constituency-178,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-33,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-33,33,38,1,33,House of Commons,Alain Boire,Alain,Boire,/chamber-1/member-68,Beauharnois—Salaberry,/chamber-1/constituency-17,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-34,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-34,34,38,1,34,House of Commons,Françoise Boivin,Françoise,Boivin,/chamber-1/member-69,Gatineau,/chamber-1/constituency-95,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-35,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-35,35,38,1,35,House of Commons,Raymond Bonin,Raymond,Bonin,/chamber-1/member-70,Nickel Belt,/chamber-1/constituency-174,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-36,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-36,36,38,1,36,House of Commons,France Bonsant,France,Bonsant,/chamber-1/member-71,Compton—Stanstead,/chamber-1/constituency-59,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-37,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-37,37,38,1,37,House of Commons,Ken Boshcoff,Ken,Boshcoff,/chamber-1/member-73,Thunder Bay—Rainy River,/chamber-1/constituency-266,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-38,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-38,38,38,1,38,House of Commons,Robert Bouchard,Robert,Bouchard,/chamber-1/member-74,Chicoutimi—Le Fjord,/chamber-1/constituency-56,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-39,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-39,39,38,1,39,House of Commons,Don Boudria,Don,Boudria,/chamber-1/member-76,Glengarry—Prescott—Russell,/chamber-1/constituency-96,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-40,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-40,40,38,1,40,House of Commons,Marc Boulianne,Marc,Boulianne,/chamber-1/member-79,Mégantic—L'Érable,/chamber-1/constituency-153,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-41,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-41,41,38,1,41,House of Commons,Diane Bourgeois,Diane,Bourgeois,/chamber-1/member-80,Terrebonne—Blainville,/chamber-1/constituency-264,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-42,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-42,42,38,1,42,House of Commons,Claudette Bradshaw,Claudette,Bradshaw,/chamber-1/member-82,Moncton—Riverview—Dieppe,/chamber-1/constituency-160,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-43,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-43,43,38,1,43,House of Commons,Garry Breitkreuz,Garry,Breitkreuz,/chamber-1/member-85,Yorkton—Melville,/chamber-1/constituency-307,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-44,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-44,44,38,1,44,House of Commons,Scott Brison,Scott,Brison,/chamber-1/member-86,Kings—Hants,/chamber-1/constituency-119,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-45,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-45,45,38,1,45,House of Commons,Ed Broadbent,Ed,Broadbent,/chamber-1/member-87,Ottawa Centre,/chamber-1/constituency-186,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-46,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-46,46,38,1,46,House of Commons,Bonnie Brown,Bonnie,Brown,/chamber-1/member-89,Oakville,/chamber-1/constituency-182,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-47,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-47,47,38,1,47,House of Commons,Gordon Brown,Gordon,Brown,/chamber-1/member-90,Leeds—Grenville,/chamber-1/constituency-136,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-48,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-48,48,38,1,48,House of Commons,Paule Brunelle,Paule,Brunelle,/chamber-1/member-94,Trois-Rivières,/chamber-1/constituency-273,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-49,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-49,49,38,1,49,House of Commons,Sarmite Bulte,Sarmite,Bulte,/chamber-1/member-95,Parkdale—High Park,/chamber-1/constituency-195,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-50,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-50,50,38,1,50,House of Commons,Gerry Byrne,Gerry,Byrne,/chamber-1/member-97,Humber—St. Barbe—Baie Verte,/chamber-1/constituency-110,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-51,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-51,51,38,1,51,House of Commons,Chuck Cadman,Chuck,Cadman,/chamber-1/member-98,Surrey North,/chamber-1/constituency-262,Independent,6/28/04,7/7/05
/parliament-38/chamber-1/member-52,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-52,52,38,1,52,House of Commons,John Cannis,John,Cannis,/chamber-1/member-103,Scarborough Centre,/chamber-1/constituency-242,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-53,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-53,53,38,1,53,House of Commons,Serge Cardin,Serge,Cardin,/chamber-1/member-105,Sherbrooke,/chamber-1/constituency-249,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-54,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-54,54,38,1,54,House of Commons,Gary Carr,Gary,Carr,/chamber-1/member-108,Halton,/chamber-1/constituency-102,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-55,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-55,55,38,1,55,House of Commons,Colin Carrie,Colin,Carrie,/chamber-1/member-109,Oshawa,/chamber-1/constituency-185,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-56,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-56,56,38,1,56,House of Commons,Robert Carrier,Robert,Carrier,/chamber-1/member-110,Alfred-Pellan,/chamber-1/constituency-7,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-57,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-57,57,38,1,57,House of Commons,Aileen Carroll,Aileen,Carroll,/chamber-1/member-111,Barrie,/chamber-1/constituency-12,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-58,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-58,58,38,1,58,House of Commons,Bill Casey,Bill,Casey,/chamber-1/member-112,Cumberland—Colchester—Musquodoboit Valley,/chamber-1/constituency-61,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-59,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-59,59,38,1,59,House of Commons,Rick Casson,Rick,Casson,/chamber-1/member-115,Lethbridge,/chamber-1/constituency-137,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-60,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-60,60,38,1,60,House of Commons,Marlene Catterall,Marlene,Catterall,/chamber-1/member-116,Ottawa West—Nepean,/chamber-1/constituency-188,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-61,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-61,61,38,1,61,House of Commons,Brenda Chamberlain,Brenda,Chamberlain,/chamber-1/member-117,Guelph,/chamber-1/constituency-97,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-62,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-62,62,38,1,62,House of Commons,Raymond Chan,Raymond,Chan,/chamber-1/member-119,Richmond,/chamber-1/constituency-218,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-63,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-63,63,38,1,63,House of Commons,David Chatters,David,Chatters,/chamber-1/member-121,Westlock—St. Paul,/chamber-1/constituency-290,Conservative Party of Canada,2/24/05,1/1/06
/parliament-38/chamber-1/member-64,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-64,64,38,1,64,House of Commons,Michael Chong,Michael,Chong,/chamber-1/member-125,Wellington—Halton Hills,/chamber-1/constituency-287,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-65,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-65,65,38,1,65,House of Commons,David Christopherson,David,Christopherson,/chamber-1/member-128,Hamilton Centre,/chamber-1/constituency-103,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-66,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-66,66,38,1,66,House of Commons,Roger Clavet,Roger,Clavet,/chamber-1/member-130,Louis-Hébert,/chamber-1/constituency-144,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-67,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-67,67,38,1,67,House of Commons,Bernard Cleary,Bernard,Cleary,/chamber-1/member-131,Louis-Saint-Laurent,/chamber-1/constituency-145,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-68,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-68,68,38,1,68,House of Commons,Denis Coderre,Denis,Coderre,/chamber-1/member-135,Bourassa,/chamber-1/constituency-23,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-69,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-69,69,38,1,69,House of Commons,Joe Comartin,Joe,Comartin,/chamber-1/member-136,Windsor—Tecumseh,/chamber-1/constituency-297,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-70,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-70,70,38,1,70,House of Commons,Joe Comuzzi,Joe,Comuzzi,/chamber-1/member-137,Thunder Bay—Superior North,/chamber-1/constituency-267,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-71,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-71,71,38,1,71,House of Commons,Guy Côté,Guy,Côté,/chamber-1/member-138,Portneuf—Jacques-Cartier,/chamber-1/constituency-206,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-72,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-72,72,38,1,72,House of Commons,Irwin Cotler,Irwin,Cotler,/chamber-1/member-140,Mount Royal,/chamber-1/constituency-164,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-73,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-73,73,38,1,73,House of Commons,Paul Crête,Paul,Crête,/chamber-1/member-141,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,/chamber-1/constituency-162,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-74,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-74,74,38,1,74,House of Commons,Jean Crowder,Jean,Crowder,/chamber-1/member-144,Nanaimo—Cowichan,/chamber-1/constituency-166,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-75,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-75,75,38,1,75,House of Commons,Nathan Cullen,Nathan,Cullen,/chamber-1/member-145,Skeena—Bulkley Valley,/chamber-1/constituency-252,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-76,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-76,76,38,1,76,House of Commons,Roy Cullen,Roy,Cullen,/chamber-1/member-146,Etobicoke North,/chamber-1/constituency-88,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-77,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-77,77,38,1,77,House of Commons,John Cummins,John,Cummins,/chamber-1/member-147,Delta—Richmond East,/chamber-1/constituency-66,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-78,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-78,78,38,1,78,House of Commons,Rodger Cuzner,Rodger,Cuzner,/chamber-1/member-148,Cape Breton—Canso,/chamber-1/constituency-45,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-79,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-79,79,38,1,79,House of Commons,Jean-Claude D'Amours,Jean-Claude,D'Amours,/chamber-1/member-149,Madawaska—Restigouche,/chamber-1/constituency-147,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-80,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-80,80,38,1,80,House of Commons,Libby Davies,Libby,Davies,/chamber-1/member-153,Vancouver East,/chamber-1/constituency-275,New Democratic Party,6/28/04,1/1/06
/parliament-38/chamber-1/member-81,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-81,81,38,1,81,House of Commons,Stockwell Day,Stockwell,Day,/chamber-1/member-155,Okanagan—Coquihalla,/chamber-1/constituency-183,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-82,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-82,82,38,1,82,House of Commons,Nicole Demers,Nicole,Demers,/chamber-1/member-159,Laval,/chamber-1/constituency-134,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-83,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-83,83,38,1,83,House of Commons,Johanne Deschamps,Johanne,Deschamps,/chamber-1/member-160,Laurentides—Labelle,/chamber-1/constituency-132,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-84,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-84,84,38,1,84,House of Commons,Bev Desjarlais,Bev,Desjarlais,/chamber-1/member-161,Churchill,/chamber-1/constituency-58,Independent,6/28/04,1/1/06
/parliament-38/chamber-1/member-85,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-85,85,38,1,85,House of Commons,Odina Desrochers,Odina,Desrochers,/chamber-1/member-163,Lotbinière—Chutes-de-la-Chaudière,/chamber-1/constituency-143,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-86,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-86,86,38,1,86,House of Commons,Paul DeVillers,Paul,DeVillers,/chamber-1/member-164,Simcoe North,/chamber-1/constituency-250,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-87,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-87,87,38,1,87,House of Commons,Barry Devolin,Barry,Devolin,/chamber-1/member-165,Haliburton—Kawartha Lakes—Brock,/chamber-1/constituency-99,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-88,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-88,88,38,1,88,House of Commons,Ruby Dhalla,Ruby,Dhalla,/chamber-1/member-168,Brampton—Springdale,/chamber-1/constituency-26,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-89,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-89,89,38,1,89,House of Commons,Stéphane Dion,Stéphane,Dion,/chamber-1/member-169,Saint-Laurent—Cartierville,/chamber-1/constituency-234,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-90,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-90,90,38,1,90,House of Commons,Ujjal Dosanjh,Ujjal,Dosanjh,/chamber-1/member-174,Vancouver South,/chamber-1/constituency-279,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-91,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-91,91,38,1,91,House of Commons,Norman E. Doyle,Norman E.,Doyle,/chamber-1/member-175,St. John's East,/chamber-1/constituency-257,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-92,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-92,92,38,1,92,House of Commons,Claude Drouin,Claude,Drouin,/chamber-1/member-177,Beauce,/chamber-1/constituency-16,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-93,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-93,93,38,1,93,House of Commons,Ken Dryden,Ken,Dryden,/chamber-1/member-178,York Centre,/chamber-1/constituency-303,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-94,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-94,94,38,1,94,House of Commons,Gilles Duceppe,Gilles,Duceppe,/chamber-1/member-181,Laurier—Sainte-Marie,/chamber-1/constituency-133,Bloc Québécois,6/28/04,1/1/06
/parliament-38/chamber-1/member-95,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-95,95,38,1,95,House of Commons,John Duncan,John,Duncan,/chamber-1/member-183,Vancouver Island North,/chamber-1/constituency-276,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-96,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-96,96,38,1,96,House of Commons,Wayne Easter,Wayne,Easter,/chamber-1/member-188,Malpeque,/chamber-1/constituency-148,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-97,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-97,97,38,1,97,House of Commons,Ruben Efford,Ruben,Efford,/chamber-1/member-189,Avalon,/chamber-1/constituency-11,Liberal Party of Canada,6/28/04,1/1/06
